  Run_nr	    Time	   Alpha	    Beta	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6
       /	   H:M:S	 degrees	 degrees	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps
       0	 17:43:16	  -5.000	   0.000	 1009.33	   19.40	     0.4	     0.0	     0.0	     0.0	     0.0	     0.0
       0	 17:43:31	  -4.005	   0.000	 1009.35	   19.40	     0.4	    -0.1	    -0.6	    -0.5	     2.5	    -0.1
       0	 17:43:47	  -3.000	   0.000	 1009.28	   19.40	     0.3	     0.0	    -1.8	    -1.8	     6.0	     0.0
       0	 17:44:03	  -2.000	   0.000	 1009.30	   19.40	     0.5	     0.0	    -2.0	    -2.5	    10.5	     0.3
       0	 17:44:18	  -1.000	   0.000	 1009.34	   19.40	     0.3	     0.0	    -3.6	    -3.8	    16.5	     0.1
       0	 17:44:34	   0.000	   0.000	 1009.36	   19.40	     0.4	     0.0	    -5.0	    -5.5	    22.5	     0.1
       0	 17:44:50	   1.000	   0.000	 1009.33	   19.40	     0.6	    -0.1	    -6.1	    -6.5	    29.7	     0.4
       0	 17:45:07	   2.000	   0.000	 1009.25	   19.40	     0.6	    -0.0	    -8.0	    -8.4	    37.1	     1.2
       0	 17:45:22	   3.000	   0.000	 1009.26	   19.40	     0.7	     0.1	   -10.0	   -10.4	    46.5	     0.5
       0	 17:45:38	   4.000	   0.000	 1009.28	   19.40	     1.0	    -0.0	   -12.0	   -12.2	    56.5	     0.6
       0	 17:45:53	   5.000	   0.000	 1009.27	   19.40	     1.0	    -0.5	   -13.5	   -13.9	    66.5	     0.0
