  Run_nr	    Time	   Alpha	    Beta	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6
       /	   H:M:S	 degrees	 degrees	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps
       0	 19:37:11	  10.000	  -9.995	 1008.63	   21.72	    -0.8	    -1.0	     0.0	     0.1	     0.0	    -0.5
       0	 19:37:29	  10.000	  -9.000	 1008.63	   21.71	    -3.1	     0.5	    -1.0	     0.7	     1.1	    -0.7
       0	 19:37:49	  10.000	  -7.995	 1008.62	   21.70	    -4.9	     3.0	    -1.5	     0.9	     3.0	    -1.5
       0	 19:38:05	  10.000	  -7.000	 1008.63	   21.70	    -5.2	     6.6	    -2.7	     1.0	     4.0	    -3.0
       0	 19:38:22	  10.000	  -6.000	 1008.63	   21.69	    -8.6	     9.1	    -3.0	     1.3	     4.9	    -4.4
       0	 19:38:47	  10.000	  -5.000	 1008.63	   21.68	   -19.7	    14.9	    -4.2	     2.0	     6.0	    -7.4
       0	 19:39:12	  10.000	  -4.000	 1008.62	   21.66	   -25.2	    20.1	    -4.5	     2.0	     7.0	    -9.2
       0	 19:39:30	  10.000	  -3.000	 1008.59	   21.64	   -19.4	    20.6	    -5.1	     2.5	     6.8	    -8.5
       0	 19:39:48	  10.000	  -2.000	 1008.59	   21.64	   -13.5	    19.4	    -4.9	     2.1	     5.7	    -7.4
       0	 19:40:06	  10.000	  -1.000	 1008.57	   21.62	   -16.3	    20.9	    -5.0	     2.9	     6.4	    -9.2
       0	 19:40:23	  10.000	   0.000	 1008.58	   21.61	   -15.9	    23.7	    -5.8	     3.0	     7.4	   -10.4
       0	 19:40:41	  10.000	   1.000	 1008.56	   21.58	   -15.4	    27.0	    -6.2	     3.2	     7.7	   -10.9
       0	 19:40:57	  10.000	   1.995	 1008.55	   21.58	   -14.4	    28.8	    -6.2	     3.1	     7.9	   -11.2
       0	 19:41:12	  10.000	   3.005	 1008.59	   21.56	   -15.6	    31.9	    -7.0	     3.5	     8.7	   -12.5
       0	 19:41:28	  10.000	   4.000	 1008.58	   21.55	   -15.0	    33.0	    -6.8	     3.8	     8.4	   -12.7
       0	 19:41:45	  10.000	   5.005	 1008.57	   21.52	   -12.8	    35.4	    -7.1	     4.0	     8.5	   -12.6
       0	 19:42:00	  10.000	   5.995	 1008.58	   21.52	   -14.5	    38.8	    -8.0	     4.3	     9.1	   -13.4
       0	 19:42:17	  10.000	   7.000	 1008.59	   21.50	   -12.0	    40.3	    -8.0	     4.4	     9.6	   -13.7
       0	 19:42:34	  10.000	   8.000	 1008.59	   21.48	   -11.6	    42.2	    -8.5	     4.7	     9.5	   -15.0
       0	 19:42:52	  10.000	   9.000	 1008.57	   21.46	   -11.4	    44.4	    -8.9	     4.7	    11.2	   -15.5
       0	 19:43:11	  10.000	  10.000	 1008.60	   21.44	   -11.5	    47.9	    -9.7	     5.0	    12.0	   -16.7
