  Run_nr	    Time	   Alpha	    Beta	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6
       /	   H:M:S	 degrees	 degrees	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps
       0	 18:09:18	   0.000	  -9.995	 1009.03	   20.84	     0.1	     0.0	     0.0	     0.0	     0.0	     0.0
       0	 18:09:39	   0.000	  -9.000	 1009.07	   20.84	    -2.3	    -1.0	    -2.0	     1.7	     0.3	    -1.1
       0	 18:10:23	   0.000	  -8.000	 1009.05	   20.82	    -3.9	     2.0	    -3.0	     2.0	     0.6	    -2.0
       0	 18:10:42	   0.000	  -7.000	 1008.98	   20.82	    -4.0	     5.2	    -4.0	     2.2	     2.7	    -3.7
       0	 18:11:09	   0.000	  -6.000	 1009.01	   20.80	    -8.0	     8.7	    -4.5	     2.5	     3.6	    -4.7
       0	 18:11:27	   0.000	  -5.000	 1009.02	   20.80	   -18.3	    14.3	    -5.8	     3.0	     5.0	    -7.6
       0	 18:11:46	   0.000	  -4.000	 1009.03	   20.79	   -24.2	    18.9	    -6.8	     3.0	     6.0	    -9.3
       0	 18:12:03	   0.000	  -3.000	 1009.06	   20.78	   -18.0	    19.3	    -6.5	     3.3	     5.7	    -8.8
       0	 18:12:22	   0.000	  -2.000	 1009.01	   20.76	   -12.6	    18.4	    -6.1	     3.2	     4.8	    -8.4
       0	 18:12:53	   0.000	  -1.000	 1008.99	   20.74	   -15.5	    20.2	    -6.6	     3.8	     5.2	    -9.6
       0	 18:13:17	   0.000	   0.000	 1009.02	   20.73	   -14.6	    22.4	    -7.0	     3.8	     6.2	   -10.2
       0	 18:13:46	   0.000	   1.000	 1008.99	   20.70	   -14.2	    25.9	    -7.8	     4.0	     7.0	   -11.6
       0	 18:14:03	   0.000	   1.995	 1009.02	   20.70	   -13.5	    28.2	    -8.0	     4.0	     7.0	   -11.5
       0	 18:14:22	   0.000	   3.005	 1009.04	   20.68	   -15.6	    30.8	    -8.0	     4.2	     7.2	   -12.5
       0	 18:14:42	   0.000	   4.000	 1008.98	   20.66	   -14.2	    33.0	    -8.7	     4.8	     7.2	   -13.1
       0	 18:14:59	   0.000	   5.005	 1009.01	   20.64	   -12.1	    34.7	    -8.9	     4.8	     7.2	   -12.6
       0	 18:15:22	   0.000	   5.995	 1008.98	   20.62	   -13.5	    37.8	    -9.1	     5.0	     8.2	   -13.5
       0	 18:15:39	   0.000	   7.000	 1008.99	   20.62	   -11.2	    39.1	    -9.8	     5.0	     8.3	   -13.5
       0	 18:15:58	   0.000	   8.000	 1008.96	   20.62	   -10.8	    41.6	   -10.0	     6.0	     9.2	   -14.5
       0	 18:16:22	   0.000	   9.000	 1008.94	   20.60	   -11.0	    44.0	   -10.2	     5.2	     9.8	   -15.3
       0	 18:16:41	   0.000	   9.995	 1008.94	   20.58	   -10.8	    46.8	   -10.9	     6.0	    10.4	   -17.1
