  Run_nr	    Time	   Alpha	    Beta	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6
       /	   H:M:S	 degrees	 degrees	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps
       0	 14:10:50	  -0.000	 -10.000	 1010.97	   19.80	     1.0	     0.0	     0.0	     0.0	     0.0	     0.0
       0	 14:11:12	  -0.000	  -9.000	 1010.97	   19.78	    -1.3	     1.2	    -1.0	     0.3	     1.8	    -0.3
       0	 14:11:31	  -0.000	  -8.000	 1010.95	   19.77	    -2.7	     3.7	    -2.0	     0.5	     2.7	    -1.2
       0	 14:12:12	  -0.000	  -7.000	 1010.97	   19.75	    -2.8	     6.9	    -3.0	     0.6	     4.2	    -2.5
       0	 14:12:32	  -0.000	  -6.005	 1010.93	   19.75	    -7.2	    10.4	    -3.5	     0.9	     5.0	    -4.0
       0	 14:12:50	  -0.000	  -5.000	 1010.92	   19.74	   -17.6	    16.1	    -5.0	     1.4	     6.6	    -6.8
       0	 14:13:11	  -0.000	  -4.000	 1010.92	   19.74	   -23.1	    20.6	    -5.5	     2.0	     7.3	    -8.9
       0	 14:13:30	  -0.000	  -3.000	 1010.93	   19.74	   -17.0	    21.1	    -5.7	     1.8	     7.3	    -8.8
       0	 14:13:51	  -0.000	  -2.000	 1010.92	   19.74	   -11.7	    20.5	    -5.0	     1.5	     6.8	    -7.7
       0	 14:14:10	  -0.000	  -1.000	 1010.89	   19.72	   -14.5	    21.6	    -5.4	     2.3	     7.0	    -8.8
       0	 14:14:29	  -0.000	   0.000	 1010.89	   19.72	   -13.7	    24.4	    -6.0	     2.5	     7.8	    -9.9
       0	 14:14:49	  -0.000	   1.000	 1010.88	   19.71	   -12.9	    27.5	    -6.5	     2.6	     8.0	   -10.3
       0	 14:15:08	  -0.000	   2.000	 1010.88	   19.70	   -12.9	    29.8	    -7.0	     3.0	     8.5	   -11.1
       0	 14:15:28	  -0.000	   2.995	 1010.88	   19.70	   -14.4	    32.5	    -7.0	     3.2	     8.9	   -12.4
       0	 14:15:50	  -0.000	   4.005	 1010.90	   19.68	   -13.1	    35.0	    -8.0	     3.0	     9.0	   -12.4
       0	 14:16:09	  -0.000	   5.005	 1010.86	   19.68	   -11.3	    36.6	    -8.0	     3.5	     8.8	   -12.1
       0	 14:16:27	  -0.000	   5.995	 1010.85	   19.68	   -13.1	    40.3	    -8.0	     3.5	    10.0	   -13.0
       0	 14:16:46	  -0.000	   7.000	 1010.91	   19.68	   -10.1	    41.5	    -8.5	     4.0	    10.0	   -13.3
       0	 14:17:08	  -0.000	   8.000	 1010.84	   19.67	    -9.7	    42.6	    -9.4	     4.7	    11.0	   -14.4
       0	 14:17:27	  -0.000	   8.995	 1010.82	   19.67	    -9.6	    45.1	    -9.3	     4.5	    11.3	   -14.9
       0	 14:17:46	  -0.000	  10.005	 1010.82	   19.66	    -9.7	    48.5	    -9.9	     4.2	    11.8	   -16.5
