  Run_nr	    Time	   Alpha	    Beta	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6
       /	   H:M:S	 degrees	 degrees	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps
       0	 12:41:23	  -5.000	   0.000	 1011.54	   19.60	    -2.1	     0.0	     0.0	     0.0	     0.0	     0.0
       0	 12:41:59	  -4.000	   0.000	 1011.54	   19.58	    -2.0	     0.5	    -0.1	    -0.5	     1.5	    -0.2
       0	 12:42:16	  -3.000	   0.000	 1011.56	   19.57	    -1.7	     0.5	    -0.5	    -1.4	     6.0	    -0.5
       0	 12:42:32	  -2.000	   0.000	 1011.52	   19.57	    -1.9	     0.6	    -1.5	    -1.9	    10.1	    -0.0
       0	 12:42:48	  -1.000	   0.000	 1011.52	   19.56	    -2.0	     0.3	    -2.5	    -3.4	    15.5	    -0.2
       0	 12:43:04	   0.000	   0.000	 1011.53	   19.56	    -2.0	     0.3	    -4.1	    -4.5	    21.7	     0.0
       0	 12:43:20	   1.000	   0.000	 1011.55	   19.56	    -1.6	     0.3	    -5.5	    -5.5	    29.1	     0.0
       0	 12:43:37	   2.000	   0.000	 1011.53	   19.55	    -1.6	     0.5	    -7.0	    -7.8	    37.0	    -0.5
       0	 12:43:53	   3.000	   0.000	 1011.52	   19.54	    -1.4	     0.4	    -9.5	    -9.2	    45.5	     0.0
       0	 12:44:13	   4.000	   0.000	 1011.53	   19.54	    -1.3	     1.5	   -10.4	   -10.7	    55.0	     0.2
       0	 12:44:29	   5.000	   0.000	 1011.54	   19.54	    -0.9	     2.0	   -12.8	   -12.6	    65.5	     0.1
       0	 12:44:46	   6.000	   0.000	 1011.53	   19.53	    -1.2	     0.3	   -15.5	   -15.1	    76.5	     0.1
       0	 12:45:02	   7.000	   0.000	 1011.52	   19.52	    -0.9	     0.5	   -17.5	   -17.9	    88.5	    -0.5
       0	 12:45:18	   8.000	   0.000	 1011.53	   19.51	    -0.9	     0.5	   -20.5	   -19.7	   101.5	     0.1
       0	 12:45:33	   9.000	   0.000	 1011.55	   19.50	    -0.5	     0.5	   -22.8	   -22.5	   114.6	    -0.1
       0	 12:45:49	  10.000	   0.000	 1011.56	   19.50	    -0.8	     0.2	   -26.5	   -25.5	   129.5	     0.1
       0	 12:46:08	  11.000	   0.000	 1011.54	   19.50	    -0.4	     0.3	   -29.5	   -28.5	   144.5	     0.1
       0	 12:46:25	  12.000	   0.000	 1011.52	   19.49	    -0.6	     0.5	   -32.5	   -32.0	   161.5	     0.5
       0	 12:46:42	  13.000	   0.000	 1011.55	   19.48	    -0.4	     0.6	   -35.9	   -34.8	   178.7	     0.3
       0	 12:46:58	  14.000	   0.000	 1011.56	   19.48	    -0.2	     0.5	   -39.3	   -38.6	   197.3	     0.5
