  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
      23	  -3.000	   0.000	  0.0211	0.038173	 0.00701	-0.17073	0.039227	  0.0191	0.007009	-0.00149	-0.17551	-0.00056	0.038173	-0.007009	0.021141	-0.00260	-0.18172	-0.00064	    2.67	   -0.39	    1.51	   -0.20	   -1.50	   -0.05	  103.26	 1011.43	   19.44	   1.204	   240.9	   20.00	1.705E+5	   0.058
      24	  -2.000	   0.000	  0.1064	0.038387	 0.00922	-0.13386	0.042078	  0.1050	0.009218	-0.00127	-0.16012	-0.00060	0.038387	-0.009218	0.106439	-0.00275	-0.16636	-0.00064	    2.66	   -0.51	    6.22	   -0.21	   -1.36	   -0.05	  103.23	 1011.43	   19.42	   1.204	   240.8	   20.00	1.705E+5	   0.058
      25	  -1.000	   0.000	  0.1908	0.039215	 0.01015	-0.09921	0.042539	  0.1901	0.010146	-0.00106	-0.14674	-0.00065	0.039215	-0.010146	0.190816	-0.00270	-0.15312	-0.00067	    2.69	   -0.56	   11.01	   -0.21	   -1.25	   -0.05	  103.26	 1011.42	   19.40	   1.204	   240.9	   20.00	1.706E+5	   0.058
      26	  -0.000	   0.000	  0.2766	0.040616	 0.01059	-0.06129	0.040616	  0.2766	0.010586	-0.00125	-0.13044	-0.00066	0.040616	-0.010586	0.276581	-0.00297	-0.13705	-0.00066	    2.75	   -0.59	   15.88	   -0.23	   -1.11	   -0.05	  103.27	 1011.40	   19.39	   1.204	   240.9	   20.00	1.706E+5	   0.058
      27	   1.000	   0.000	  0.3598	0.042447	 0.01037	-0.02490	0.036161	  0.3605	0.010367	-0.00150	-0.11504	-0.00071	0.042447	-0.010367	0.359848	-0.00320	-0.12194	-0.00069	    2.83	   -0.58	   20.53	   -0.25	   -0.98	   -0.05	  103.22	 1011.44	   19.36	   1.205	   240.8	   19.99	1.706E+5	   0.058
      28	   2.000	   0.000	  0.4458	0.045043	 0.00966	 0.01280	0.029456	  0.4471	0.009656	-0.00147	-0.09899	-0.00078	0.045043	-0.009656	0.445840	-0.00307	-0.10631	-0.00073	    2.96	   -0.54	   25.36	   -0.24	   -0.85	   -0.06	  103.27	 1011.41	   19.34	   1.205	   240.9	   20.00	1.706E+5	   0.058
      29	   3.000	   0.000	  0.5283	0.048036	 0.01019	 0.04984	0.020321	  0.5301	0.010191	-0.00153	-0.08268	-0.00073	0.048036	-0.010191	0.528312	-0.00322	-0.09050	-0.00065	    3.11	   -0.57	   30.04	   -0.25	   -0.71	   -0.05	  103.32	 1011.42	   19.34	   1.205	   241.0	   20.00	1.707E+5	   0.058
      30	   4.000	   0.000	  0.6099	0.051677	 0.01006	 0.08757	0.009006	  0.6120	0.010057	-0.00127	-0.06544	-0.00072	0.051677	-0.010057	0.609915	-0.00296	-0.07385	-0.00063	    3.30	   -0.56	   34.65	   -0.23	   -0.57	   -0.05	  103.29	 1011.36	   19.30	   1.205	   241.0	   20.00	1.707E+5	   0.058
      31	   5.000	   0.000	  0.6922	0.055543	 0.00913	 0.12486	-0.004996	  0.6944	0.009135	-0.00157	-0.04874	-0.00076	0.055543	-0.009135	0.692193	-0.00311	-0.05777	-0.00062	    3.51	   -0.51	   39.20	   -0.24	   -0.43	   -0.05	  103.25	 1011.33	   19.28	   1.205	   240.9	   20.00	1.706E+5	   0.058
      32	   6.000	   0.000	  0.7695	0.059889	 0.00801	 0.16159	-0.020870	  0.7715	0.008013	-0.00142	-0.03129	-0.00077	0.059889	-0.008013	0.769469	-0.00280	-0.04103	-0.00063	    3.74	   -0.45	   43.47	   -0.22	   -0.29	   -0.05	  103.22	 1011.31	   19.27	   1.205	   240.8	   19.99	1.706E+5	   0.058
      33	   7.000	   0.000	  0.8412	0.064817	 0.00645	 0.19737	-0.038186	  0.8429	0.006453	-0.00122	-0.01335	-0.00087	0.064817	-0.006453	0.841230	-0.00237	-0.02389	-0.00073	    4.01	   -0.36	   47.56	   -0.19	   -0.14	   -0.06	  103.38	 1011.29	   19.26	   1.205	   241.2	   20.01	1.708E+5	   0.058
      34	   8.000	   0.000	  0.8979	0.071234	 0.00500	 0.22928	-0.054417	  0.8990	0.005002	-0.00122	 0.00452	-0.00117	0.071234	-0.005002	0.897861	-0.00218	-0.00707	-0.00101	    4.36	   -0.28	   50.74	   -0.17	    0.01	   -0.08	  103.38	 1011.25	   19.24	   1.205	   241.2	   20.01	1.708E+5	   0.058
      35	   9.000	   0.000	  0.9397	0.079188	 0.00630	 0.25822	-0.068789	  0.9405	0.006298	-0.00008	 0.02308	-0.00183	0.079188	-0.006298	0.939708	-0.00140	 0.01020	-0.00184	    4.78	   -0.35	   52.85	   -0.11	    0.18	   -0.14	  103.23	 1011.23	   19.22	   1.205	   240.8	   19.99	1.707E+5	   0.058
      36	  10.000	   0.000	  0.9705	0.089017	 0.00809	 0.28050	-0.080856	  0.9712	0.008094	 0.00038	 0.03771	-0.00223	0.089017	-0.008094	0.970472	-0.00135	 0.02322	-0.00233	    5.32	   -0.45	   54.45	   -0.10	    0.31	   -0.18	  103.31	 1011.21	   19.22	   1.205	   241.0	   20.00	1.707E+5	   0.058
      37	  11.000	   0.000	  0.9829	0.102863	 0.00294	 0.29552	-0.086578	  0.9845	0.002938	-0.00205	 0.04939	-0.00115	0.102863	-0.002938	0.982929	-0.00271	 0.03266	-0.00077	    6.07	   -0.16	   55.16	   -0.21	    0.39	   -0.06	  103.31	 1011.21	   19.22	   1.205	   241.0	   20.00	1.707E+5	   0.058
      38	  12.000	   0.000	  1.0208	0.118608	 0.00146	 0.31113	-0.096230	  1.0232	0.001460	-0.00285	 0.05533	-0.00106	0.118608	-0.001460	1.020847	-0.00326	 0.03603	-0.00048	    6.93	   -0.08	   57.23	   -0.25	    0.43	   -0.04	  103.21	 1011.22	   19.22	   1.205	   240.8	   19.99	1.706E+5	   0.058
      39 	  13.000	   0.000	  1.0339	0.142997	 0.01028	 0.31636	-0.093242	  1.0396	0.010280	 0.00161	 0.05647	-0.00275	0.142997	-0.010280	1.033888	-0.00075	 0.03321	-0.00319	    8.29	   -0.57	   57.85	   -0.06	    0.42	   -0.25	  103.10	 1011.22	   19.20	   1.205	   240.5	   19.98	1.706E+5	   0.058
      40	  14.000	   0.000	  1.0789	0.156000	 0.00941	 0.33653	-0.109632	  1.0846	0.009409	 0.00094	 0.06539	-0.00231	0.156000	-0.009409	1.078857	-0.00121	 0.04001	-0.00261	    9.04	   -0.52	   60.37	   -0.09	    0.49	   -0.20	  103.20	 1011.18	   19.20	   1.205	   240.8	   19.99	1.706E+5	   0.058
      41	  -4.997	   0.000	 -0.1734	0.036508	 0.01399	-0.23519	0.021263	 -0.1760	0.013987	-0.00082	-0.19120	-0.00066	0.036508	-0.013987	-0.173434	-0.00303	-0.19714	-0.00073	   10.38	   -3.11	  -37.08	   -0.94	   -6.47	   -0.23	  410.45	 1011.16	   19.79	   1.202	   961.8	   40.00	3.402E+5	   0.117
      42  	  -4.000	   0.000	 -0.0863	0.035235	 0.01614	-0.20102	0.029129	 -0.0886	0.016140	-0.00064	-0.17888	-0.00063	0.035235	-0.016140	-0.086308	-0.00322	-0.18461	-0.00068	   10.09	   -3.59	  -17.70	   -1.00	   -6.04	   -0.21	  410.53	 1011.15	   19.89	   1.202	   962.0	   40.01	3.401E+5	   0.117
      43	  -3.000	   0.000	  0.0047	0.034720	 0.01523	-0.16507	0.034918	  0.0029	0.015231	-0.00068	-0.16578	-0.00056	0.034720	-0.015231	0.004679	-0.00313	-0.17143	-0.00060	    9.88	   -3.38	    2.38	   -0.97	   -5.59	   -0.19	  410.28	 1011.14	   19.98	   1.202	   961.4	   40.00	3.398E+5	   0.117
      44	  -2.000	   0.000	  0.0956	0.034885	 0.01381	-0.12846	0.038200	  0.0943	0.013810	-0.00082	-0.15205	-0.00047	0.034885	-0.013810	0.095620	-0.00305	-0.15772	-0.00049	    9.83	   -3.07	   22.45	   -0.95	   -5.13	   -0.15	  410.35	 1011.16	   20.03	   1.202	   961.6	   40.01	3.398E+5	   0.117
      45	  -1.000	   0.000	  0.1840	0.035492	 0.01242	-0.09224	0.038698	  0.1834	0.012417	-0.00088	-0.13808	-0.00040	0.035492	-0.012417	0.184034	-0.00289	-0.14386	-0.00042	    9.90	   -2.76	   42.44	   -0.90	   -4.66	   -0.13	  410.11	 1011.18	   20.09	   1.201	   961.0	   40.00	3.396E+5	   0.117
      46	  -0.000	   0.000	  0.2721	0.036658	 0.01157	-0.05568	0.036658	  0.2721	0.011570	-0.00093	-0.12371	-0.00039	0.036658	-0.011570	0.272103	-0.00281	-0.12967	-0.00039	   10.09	   -2.57	   62.32	   -0.87	   -4.17	   -0.12	  409.85	 1011.18	   20.12	   1.201	   960.4	   39.99	3.395E+5	   0.116
      47	   1.000	   0.000	  0.3593	0.038589	 0.01132	-0.01874	0.032312	  0.3599	0.011315	-0.00100	-0.10872	-0.00047	0.038589	-0.011315	0.359325	-0.00285	-0.11500	-0.00045	   10.45	   -2.51	   81.82	   -0.88	   -3.67	   -0.14	  410.05	 1011.19	   20.15	   1.201	   960.9	   40.00	3.395E+5	   0.117
      48	   2.000	   0.000	  0.4452	0.041189	 0.01056	 0.01865	0.025627	  0.4464	0.010559	-0.00095	-0.09294	-0.00055	0.041189	-0.010559	0.445202	-0.00269	-0.09965	-0.00052	   10.95	   -2.34	  101.01	   -0.84	   -3.15	   -0.16	  410.12	 1011.16	   20.18	   1.201	   961.1	   40.01	3.395E+5	   0.117
      49	   3.000	   0.000	  0.5277	0.044138	 0.00978	 0.05555	0.016462	  0.5292	0.009778	-0.00103	-0.07676	-0.00063	0.044138	-0.009778	0.527660	-0.00265	-0.08394	-0.00058	   11.53	   -2.17	  119.54	   -0.82	   -2.60	   -0.18	  409.83	 1011.19	   20.22	   1.201	   960.4	   39.99	3.393E+5	   0.116
      50	   4.000	   0.000	  0.6074	0.047702	 0.01021	 0.09227	0.005216	  0.6093	0.010207	-0.00106	-0.06005	-0.00074	0.047702	-0.010207	0.607416	-0.00277	-0.06781	-0.00067	   12.26	   -2.26	  137.55	   -0.86	   -2.04	   -0.21	  409.84	 1011.20	   20.24	   1.201	   960.4	   40.00	3.393E+5	   0.116
      51	   5.000	   0.000	  0.6858	0.051396	 0.00929	 0.12920	-0.008571	  0.6877	0.009288	-0.00118	-0.04271	-0.00082	0.051396	-0.009288	0.685805	-0.00276	-0.05108	-0.00072	   13.05	   -2.06	  154.81	   -0.86	   -1.47	   -0.22	  409.64	 1011.18	   20.25	   1.201	   959.9	   39.99	3.392E+5	   0.116
      52	   6.000	   0.000	  0.7597	0.055635	 0.00751	 0.16487	-0.024084	  0.7614	0.007512	-0.00125	-0.02548	-0.00094	0.055635	-0.007512	0.759745	-0.00257	-0.03453	-0.00081	   13.98	   -1.67	  171.25	   -0.80	   -0.91	   -0.25	  409.90	 1011.16	   20.26	   1.201	   960.5	   40.00	3.393E+5	   0.116
      53	   7.000	   0.000	  0.8275	0.060806	 0.00711	 0.19860	-0.040492	  0.8287	0.007108	-0.00121	-0.00858	-0.00098	0.060806	-0.007108	0.827484	-0.00248	-0.01848	-0.00084	   15.08	   -1.58	  186.30	   -0.77	   -0.35	   -0.26	  409.74	 1011.14	   20.26	   1.201	   960.2	   39.99	3.392E+5	   0.116
      54	   8.000	   0.000	  0.8841	0.067390	 0.00713	 0.22950	-0.056313	  0.8849	0.007129	-0.00127	 0.00827	-0.00105	0.067390	-0.007129	0.884137	-0.00257	-0.00269	-0.00088	   16.50	   -1.58	  198.93	   -0.80	    0.20	   -0.27	  409.69	 1011.13	   20.29	   1.200	   960.0	   39.99	3.391E+5	   0.116
      55	   9.000	   0.000	  0.9084	0.079698	 0.00500	 0.24938	-0.063383	  0.9097	0.004998	-0.00216	 0.02197	-0.00062	0.079698	-0.004998	0.908369	-0.00305	 0.00900	-0.00029	   19.17	   -1.11	  203.67	   -0.95	    0.66	   -0.09	  409.58	 1011.10	   20.31	   1.200	   959.8	   39.99	3.391E+5	   0.116
      56	  10.000	   0.000	  0.9254	0.093771	 0.00428	 0.26506	-0.068341	  0.9276	0.004276	-0.00195	 0.03317	-0.00091	0.093771	-0.004276	0.925363	-0.00278	 0.01791	-0.00058	   22.24	   -0.95	  206.88	   -0.86	    1.03	   -0.18	  409.62	 1011.05	   20.33	   1.200	   959.9	   39.99	3.390E+5	   0.116
      57	  11.000	   0.000	  0.9616	0.104939	 0.00484	 0.28754	-0.080465	  0.9639	0.004839	-0.00135	 0.04655	-0.00132	0.104939	-0.004839	0.961574	-0.00237	 0.02948	-0.00108	   24.65	   -1.07	  214.96	   -0.74	    1.46	   -0.34	  409.63	 1011.05	   20.34	   1.200	   959.9	   40.00	3.390E+5	   0.116
      58	  12.000	   0.000	  1.0041	0.117133	 0.00499	 0.30880	-0.094187	  1.0065	0.004989	-0.00083	 0.05717	-0.00157	0.117133	-0.004989	1.004081	-0.00197	 0.03811	-0.00143	   27.29	   -1.11	  224.47	   -0.61	    1.78	   -0.44	  409.70	 1011.06	   20.38	   1.200	   960.1	   40.00	3.390E+5	   0.116
      59	  13.000	   0.000	  1.0495	0.130726	 0.00553	 0.32864	-0.108707	  1.0520	0.005535	-0.00011	 0.06564	-0.00191	0.130726	-0.005535	1.049480	-0.00146	 0.04437	-0.00193	   30.36	   -1.23	  234.28	   -0.45	    2.07	   -0.60	  409.53	 1011.08	   20.38	   1.200	   959.7	   39.99	3.389E+5	   0.116
      60	  14.000	   0.000	  1.0868	0.143955	 0.00592	 0.34826	-0.123244	  1.0893	0.005920	 0.00029	 0.07593	-0.00206	0.143955	-0.005920	1.086807	-0.00121	 0.05250	-0.00220	   33.36	   -1.31	  242.46	   -0.38	    2.43	   -0.68	  409.63	 1011.08	   20.40	   1.200	   959.9	   40.00	3.389E+5	   0.116
