  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
       1	  10.000	  -9.995	  1.0265	0.101458	-0.06486	 0.24595	-0.090936	  1.0263	-0.081482	-0.00324	-0.01062	 0.00318	0.088662	0.081482	1.026510	 0.01064	-0.02505	 0.00380	   20.98	   17.96	  227.96	    3.28	   -0.54	    1.17	  407.22	 1008.56	   21.33	   1.193	   954.2	   39.99	3.362E+5	   0.116
       2	  10.000	  -9.000	  1.0229	0.093419	-0.09775	 0.27483	-0.101821	  1.0208	-0.111162	 0.00007	 0.01964	 0.01508	0.076978	0.111162	1.022931	 0.02085	 0.00712	 0.01530	   18.41	   24.50	  227.17	    6.44	    0.63	    4.72	  407.23	 1008.54	   21.40	   1.193	   954.2	   40.00	3.361E+5	   0.116
       3	  10.000	  -7.995	  1.0118	0.092345	-0.08502	 0.27519	-0.097292	  1.0103	-0.097040	 0.00028	 0.02261	 0.01397	0.079622	0.097040	1.011846	 0.01857	 0.00966	 0.01414	   18.99	   21.38	  224.67	    5.73	    0.72	    4.36	  407.13	 1008.53	   21.44	   1.193	   954.0	   40.00	3.360E+5	   0.116
       4	  10.000	  -7.000	  0.9636	0.097557	-0.07355	 0.27358	-0.080792	  0.9642	-0.084893	-0.00224	 0.03253	 0.01379	0.087866	0.084893	0.963578	 0.01408	 0.01823	 0.01440	   20.81	   18.71	  214.06	    4.34	    1.03	    4.44	  407.17	 1008.54	   21.46	   1.193	   954.1	   40.00	3.359E+5	   0.116
       5	  10.000	  -6.000	  0.9543	0.096740	-0.05939	 0.27011	-0.077085	  0.9555	-0.069174	-0.00212	 0.03124	 0.01163	0.090002	0.069174	0.954349	 0.01125	 0.01660	 0.01218	   21.28	   15.25	  212.05	    3.47	    0.97	    3.76	  407.23	 1008.51	   21.48	   1.192	   954.2	   40.01	3.359E+5	   0.116
       6	  10.000	  -5.000	  0.9506	0.095607	-0.04837	 0.27125	-0.075431	  0.9520	-0.056521	-0.00196	 0.03325	 0.00985	0.091027	0.056521	0.950634	 0.00903	 0.01844	 0.01035	   21.50	   12.46	  211.19	    2.79	    1.04	    3.19	  407.14	 1008.50	   21.51	   1.192	   954.0	   40.00	3.359E+5	   0.116
       7	  10.000	  -4.000	  0.9453	0.094896	-0.03545	 0.27087	-0.073356	  0.9469	-0.041985	-0.00191	 0.03414	 0.00754	0.092192	0.041985	0.945287	 0.00630	 0.01914	 0.00800	   21.75	    9.25	  209.97	    1.94	    1.06	    2.47	  407.06	 1008.52	   21.52	   1.192	   953.8	   40.00	3.358E+5	   0.116
       8	  10.000	  -3.000	  0.9403	0.094778	-0.02413	 0.26817	-0.071322	  0.9423	-0.029059	-0.00194	 0.03260	 0.00528	0.093385	0.029059	0.940342	 0.00377	 0.01741	 0.00570	   22.02	    6.40	  208.88	    1.16	    1.00	    1.76	  407.06	 1008.49	   21.56	   1.192	   953.8	   40.00	3.358E+5	   0.116
       9	  10.000	  -2.000	  0.9364	0.094987	-0.01423	 0.26594	-0.069605	  0.9386	-0.017537	-0.00173	 0.03130	 0.00341	0.094432	0.017537	0.936397	 0.00176	 0.01594	 0.00377	   22.24	    3.86	  207.95	    0.54	    0.95	    1.16	  406.95	 1008.48	   21.60	   1.192	   953.6	   40.00	3.356E+5	   0.116
      10	  10.000	  -1.000	  0.9316	0.095035	-0.00592	 0.26567	-0.068288	  0.9339	-0.007582	-0.00140	 0.03220	 0.00142	0.094917	0.007582	0.931563	 0.00011	 0.01675	 0.00169	   22.35	    1.67	  206.94	    0.03	    0.98	    0.52	  407.05	 1008.49	   21.60	   1.192	   953.8	   40.01	3.357E+5	   0.116
      11	  10.000	  -0.005	  0.9292	0.094632	 0.00100	 0.26626	-0.068162	  0.9315	0.000992	-0.00096	 0.03337	-0.00084	0.094633	-0.000992	0.929222	-0.00126	 0.01798	-0.00069	   22.29	   -0.22	  206.40	   -0.39	    1.02	   -0.21	  407.01	 1008.47	   21.61	   1.192	   953.7	   40.00	3.357E+5	   0.116
      12	  10.000	   1.000	  0.9277	0.094057	 0.00841	 0.26694	-0.068629	  0.9299	0.010046	-0.00059	 0.03445	-0.00284	0.093896	-0.010046	0.927730	-0.00272	 0.01918	-0.00278	   22.12	   -2.21	  206.03	   -0.84	    1.07	   -0.86	  406.93	 1008.50	   21.62	   1.192	   953.5	   40.00	3.356E+5	   0.116
      13	  10.000	   1.995	  0.9295	0.093828	 0.01793	 0.26786	-0.069672	  0.9315	0.021186	-0.00025	 0.03497	-0.00491	0.093147	-0.021186	0.929494	-0.00457	 0.01982	-0.00494	   21.96	   -4.67	  206.41	   -1.41	    1.09	   -1.52	  406.90	 1008.45	   21.62	   1.192	   953.5	   40.00	3.356E+5	   0.116
      14	  10.000	   3.000	  0.9310	0.094876	 0.02650	 0.26885	-0.069721	  0.9330	0.031431	 0.00008	 0.03558	-0.00751	0.093359	-0.031431	0.930979	-0.00638	 0.02039	-0.00764	   22.00	   -6.92	  206.69	   -1.97	    1.11	   -2.36	  406.82	 1008.47	   21.62	   1.192	   953.3	   40.00	3.356E+5	   0.116
      15	  10.000	   4.005	  0.9355	0.094987	 0.03985	 0.27073	-0.071879	  0.9373	0.046386	-0.00021	 0.03641	-0.01038	0.091971	-0.046386	0.935535	-0.00962	 0.02144	-0.01050	   21.70	  -10.22	  207.74	   -2.97	    1.15	   -3.24	  406.91	 1008.49	   21.63	   1.192	   953.5	   40.00	3.356E+5	   0.116
      16	  10.000	   5.005	  0.9419	0.094736	 0.05241	 0.27362	-0.075118	  0.9432	0.060479	 0.00038	 0.03783	-0.01225	0.089802	-0.060479	0.941883	-0.01165	 0.02322	-0.01250	   21.21	  -13.32	  209.08	   -3.59	    1.21	   -3.85	  406.80	 1008.51	   21.62	   1.192	   953.2	   39.99	3.356E+5	   0.116
      17	  10.000	   5.995	  0.9716	0.092956	 0.06412	 0.27751	-0.084272	  0.9718	0.073482	-0.00061	 0.03457	-0.01348	0.085751	-0.073482	0.971623	-0.01497	 0.02062	-0.01358	   20.33	  -16.18	  215.67	   -4.62	    1.12	   -4.19	  406.87	 1008.52	   21.63	   1.192	   953.4	   40.00	3.356E+5	   0.116
      18	  10.000	   7.000	  0.9942	0.092093	 0.07760	 0.28233	-0.091938	  0.9933	0.088248	-0.00094	 0.03400	-0.01523	0.081949	-0.088248	0.994209	-0.01800	 0.02067	-0.01530	   19.49	  -19.43	  220.62	   -5.55	    1.12	   -4.72	  406.83	 1008.49	   21.64	   1.192	   953.3	   40.00	3.355E+5	   0.116
      19	  10.000	   8.000	  1.0210	0.089771	 0.08858	 0.28751	-0.101896	  1.0188	0.100211	-0.00111	 0.03281	-0.01571	0.076570	-0.100211	1.021049	-0.02021	 0.02035	-0.01576	   18.30	  -22.07	  226.54	   -6.23	    1.11	   -4.86	  406.85	 1008.50	   21.66	   1.192	   953.3	   40.00	3.355E+5	   0.116
      20	  10.000	   9.000	  1.0273	0.089277	 0.10089	 0.29493	-0.107091	  1.0243	0.113614	-0.00008	 0.03886	-0.01670	0.072395	-0.113614	1.027290	-0.02155	 0.02708	-0.01695	   17.38	  -25.02	  227.94	   -6.65	    1.35	   -5.23	  406.89	 1008.50	   21.68	   1.192	   953.4	   40.00	3.355E+5	   0.116
      21	  10.000	  10.005	  1.0315	0.092277	 0.10396	 0.28908	-0.107404	  1.0284	0.118409	 0.00116	 0.03197	-0.01502	0.072812	-0.118409	1.031456	-0.02081	 0.02013	-0.01546	   17.48	  -26.09	  228.94	   -6.42	    1.10	   -4.77	  407.04	 1008.49	   21.69	   1.192	   953.8	   40.01	3.356E+5	   0.116
