  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	       X	       Y	       Z	     Rho	       Q	       V	      Re	      Fx	      Fy	      Fz	      Mx	      My	      Mz	      Cl	      Cd	      Cm	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Q_w.r.	FlapDefl	FlapXDis	FlapYDis	    P001	    P002	    P003	    P004	    P005	    P006	    P007	    P008	    P009	    P010	    P011	    P012	    P013	    P014	    P015	    P016	    P017	    P018	    P019	    P020	    P021	    P022	    P023	    P024	    P025	    P026	    P027	    P028	    P029	    P030	    P031	    P032	    P033	    P034	    P035	    P036	    P037	    P038	    P039	    P040	    P041	    P042	    P043	    P044	    P045	    P046	    P047	    P048	    P049	    P050	    P051	    P052	    P053	    P054	    P055	    P056	    P057	    P058	    P059	    P060	    P061	    P062	    P063	    P064	    P065	    P066	    P067	    P068	    P069	    P070	    P071	    P072	    P073	    P074	    P075	    P076	    P077	    P078	    P079	    P080	    P081	    P082	    P083	    P084	    P085	    P086	    P087	    P088	    P089	    P090	    P091	    P092	    P093	    P094	    P095	    P096	    P097	    P098	    P099	    P100	    P101	    P102	    P103	    P104	    P105	    P106	    P107	    P108	    P109	    P110	    P111	    P112	    P113	    P114	    P115	    P116	    P117	    P118	    P119	    P120	    P121	    P122	    P123	    P124	    P125	    P126	    P127	    P128	    P129	    P130	    P131	    P132	    P133	    P134	    P135	    P136	    P137	    P138	    P139	    P140	    P141	    P142	    P143	    P144	    P145	    P146	    P147	    P148	    P149	    P150	    P151	    P152	    P153	    P154	    P155	    P156	    P157	    P158	    P159	    P160	    P161	    P162	    P163	    P164	    P165	    P166	    P167	    P168	    P169	    P170	    P171	    P172	    P173	    P174	    P175	    P176	    P177	    P178	    P179	    P180	    P181	    P182	    P183	    P184	    P185	    P186	    P187	    P188	    P189	    P190	    P191	    P192	    P193	    P194	    P195	    P196	    P197	    P198	    P199	    P200	    P201	    P202	    P203	    P204	    P205	    P206	    P207	    P208	    P209	    P210	    P211	    P212	    P213	    P214	    P215	    P216	    P217	    P218	    P219	    P220	    P221	    P222	    P223	    P224	    P225	    P226	    P227	    P228	    P229	    P230	    P231	    P232	    P233	    P234	    P235	    P236	    P237	    P238	    P239	    P240	    P241	    P242	    P243	    P244	    P245	    P246	    P247	    P248	    P249	    P250	    P251	    P252	    P253	    P254	    P255
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	      mm	      mm	      mm	  kg/m^3	      Pa	     m/s	       /	       N	       N	       N	      Nm	      Nm	      Nm	       /	       /	       /	       /	       /	       /	       /	       /	       /	      Pa	 degrees	      mm	      mm	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa
       1	 18:29:13	   0.000	 -10.000	  633.39	 1008.86	   21.64	    1408	    3553	    1733	    -237	     560	   -1360	   0.000	   0.000	   0.000	   1.192	  1490.5	    50.0	  540112	   12.93	   39.91	  105.46	   10.15	   -6.35	    8.96	   0.000	 0.00000	 0.00000	   0.000	   0.000	   0.000	   0.000	 585.893	  28.285	 1490.53	    0.00	    0.00	    0.00	    0.48	    0.11	   -0.55	    2.84	    1.78	   -0.05	    0.76	    0.65	    4.00	    2.84	   -0.79	    2.63	   -0.00	    0.00	    2.43	    0.65	    0.53	    0.38	    1.26	   -0.38	    0.91	    2.35	    1.54	    0.68	    1.86	   -0.99	    1.74	   -0.53	   -1.30	    0.86	    0.57	    0.11	   -0.18	   -0.26	   -0.11	   -0.22	   -0.27	   -0.20	   -0.24	   -0.35	   -0.04	   -0.29	   -0.31	   -0.25	   -0.13	    0.00	   -0.15	   -0.26	   -0.23	   -0.34	   -0.50	   -0.09	   -0.31	   -0.20	   -0.40	   -0.26	   -0.07	   -0.18	   -0.34	   -0.28	   -0.54	   -0.32	   -0.25	   -0.22	    0.16	    0.08	    1.78	    0.06	    0.82	   -1.22	    0.35	   -2.02	    0.76	    0.67	    0.42	   -0.54	    0.69	    0.27	   -0.65	   -2.35	    0.24	    0.21	   -0.88	    0.84	    1.28	   -0.41	    0.18	    0.14	   -0.10	   -0.74	   -0.18	   -0.35	   -0.76	    0.91	    2.42	    1.81	   -0.02	   -0.25	   -0.24	    0.05	   -0.17	    0.03	   -0.22	    0.05	   -0.25	   -0.18	   -0.39	    0.69	   -0.20	   -0.17	   -0.02	    0.20	    0.18	    0.01	   -0.18	   -0.13	   -0.15	   -0.07	 -173.30	 -192.85	 -188.23	 -154.23	 -108.22	 1589.16	   73.35	   -0.03	   -0.21	   -0.14	   -0.27	   -0.12	   -0.15	   -0.10	   -0.20	    0.04	   -0.18	   -0.04	   -0.20	   -0.62	   -0.21	   -0.19	   -0.12	   -0.19	   -0.33	   -0.21	   -0.26	   -0.32	    0.29	   -0.24	   -0.24	    0.04	   -0.19	   -0.02	   -0.05	   -0.06	    0.17	   -0.19	   -0.08	   -0.45	   -0.03	   -0.06	   -0.06	   -0.01	    0.05	   -0.03	    0.09	    0.08	   -0.01	   -0.09	   -0.27	   -0.16	   -0.28	   -0.39	    0.00	   -0.19	    0.06	   -0.08	   -0.03	   -0.11	   -0.22	   -0.14	   -0.04	   -0.05	    0.02	   -0.27	   -0.03	    0.07	   -0.25	   -0.18	   -0.09	    0.12	   -0.18	   -0.07	   -0.02	    0.02	    0.03	    0.01	   -0.34	   -0.01	   -0.02	    0.01	    0.11	   -0.06	   -0.16	    0.07	    0.03	    0.16	    0.08	   -0.12	   -0.02	   -0.07	   -0.01	   -0.00	    0.14	    0.00	   -0.11	    0.12	    0.10	   -0.08	   -0.03	   -0.11	   -0.04	   -0.05	   -0.02	   -0.11	    0.11	    0.09	   -0.14	   -0.06	    0.03	   -0.02	   -0.07	    0.02	   -0.05	    0.10	   -0.11	   -0.07	    0.05	   -0.10	   -0.08	   -0.04	   -0.01	   -0.02	    0.08	   -0.07	    0.09	   -0.18	   -0.05	   -0.02	   -0.07	   -0.00	   -0.06	   -0.14	    0.00	    0.00	    0.00
       2	 18:29:31	   0.000	  -9.000	  633.84	 1008.90	   21.75	    1424	    3413	    1645	    -173	     584	   -1387	   0.000	   0.000	   0.000	   1.192	  1491.6	    50.0	  540058	   13.08	   37.34	  104.60	    9.89	   -6.19	    9.13	   0.000	 0.00000	 0.00000	   0.000	   0.000	   0.000	   0.000	 585.510	  28.285	 1491.59	    0.00	    0.00	    0.00	    0.43	    0.26	   -0.67	    3.06	    2.11	    0.36	    0.49	    1.19	    3.46	    2.36	   -0.69	    2.74	    0.26	    0.00	    2.64	    0.16	    0.58	    0.65	    1.15	   -0.76	    0.59	    2.24	    1.25	    0.84	    2.24	   -0.99	    1.74	   -0.43	   -1.57	    1.12	    0.57	    0.38	   -0.22	   -0.24	   -0.14	   -0.19	   -0.28	   -0.21	   -0.25	   -0.32	   -0.00	   -0.29	   -0.38	   -0.25	   -0.09	   -0.01	   -0.20	   -0.28	   -0.26	   -0.32	   -0.49	   -0.06	   -0.34	   -0.18	   -0.38	   -0.27	   -0.08	   -0.17	   -0.38	   -0.28	   -0.50	   -0.28	   -0.23	   -0.24	    0.24	    0.25	    1.91	    0.06	    0.85	   -1.19	    0.59	   -1.73	    0.98	    0.96	    0.39	   -0.08	    0.71	    0.38	   -0.59	   -2.08	    0.26	    0.45	   -1.04	    0.95	    1.60	   -0.32	    0.32	    0.30	    0.00	   -0.68	   -0.34	   -0.19	   -0.71	    1.08	    3.21	    1.97	   -0.00	   -0.28	   -0.25	    0.00	   -0.15	    0.07	   -0.25	    0.03	   -0.24	   -0.21	   -0.42	    0.73	   -0.25	   -0.17	   -0.03	    0.20	    0.19	    0.01	   -0.19	   -0.18	   -0.16	   -0.11	 -177.29	 -193.96	 -187.84	 -153.08	 -104.31	 1588.61	   71.68	   -0.08	   -0.24	   -0.18	   -0.27	   -0.11	   -0.09	   -0.08	   -0.18	    0.09	   -0.19	   -0.04	   -0.17	   -0.66	   -0.22	   -0.15	   -0.09	   -0.19	   -0.36	   -0.17	   -0.28	   -0.35	    0.33	   -0.18	   -0.22	    0.00	   -0.17	   -0.03	   -0.04	   -0.07	    0.13	   -0.18	   -0.09	   -0.41	    0.00	   -0.11	   -0.05	    0.03	    0.08	   -0.01	    0.11	    0.07	    0.01	   -0.04	   -0.27	   -0.16	   -0.27	   -0.37	    0.02	   -0.19	    0.06	   -0.00	   -0.00	   -0.11	   -0.16	   -0.08	   -0.04	   -0.03	    0.00	   -0.25	   -0.06	    0.07	   -0.30	   -0.18	   -0.07	    0.13	   -0.22	   -0.10	   -0.04	    0.00	   -0.00	   -0.01	   -0.36	   -0.02	   -0.02	    0.03	    0.11	   -0.05	   -0.16	    0.07	    0.01	    0.16	    0.07	   -0.11	   -0.02	   -0.10	   -0.02	   -0.05	    0.16	    0.03	   -0.08	    0.12	    0.07	   -0.08	   -0.04	   -0.11	   -0.05	   -0.06	    0.01	   -0.11	    0.06	    0.08	   -0.12	   -0.03	    0.05	   -0.03	   -0.08	    0.05	   -0.04	    0.12	   -0.11	   -0.08	    0.06	   -0.08	   -0.09	   -0.03	   -0.02	   -0.04	    0.09	   -0.08	    0.06	   -0.17	   -0.07	   -0.03	   -0.08	   -0.01	   -0.05	   -0.12	    0.00	    0.00	    0.00
       3	 18:29:52	   0.000	  -8.000	  632.89	 1008.88	   21.84	    1464	    3134	    1526	     -89	     619	   -1335	   0.000	   0.000	   0.000	   1.191	  1489.3	    50.0	  539426	   13.45	   33.54	  103.39	    9.18	   -6.12	    8.78	   0.000	 0.00000	 0.00000	   0.000	   0.000	   0.000	   0.000	 584.902	  28.285	 1489.34	    0.00	    0.00	    0.00	    0.22	    0.42	   -0.39	    3.06	    2.00	    0.16	    0.27	    1.14	    3.30	    2.95	   -1.01	    3.21	    0.26	    0.16	    2.43	    0.81	    0.48	    0.48	    1.36	   -0.60	    0.59	    2.46	    1.31	    0.73	    1.97	   -1.09	    1.64	   -0.27	   -1.25	    1.34	    0.42	    0.59	   -0.18	   -0.26	   -0.13	   -0.17	   -0.30	   -0.19	   -0.25	   -0.37	   -0.01	   -0.29	   -0.31	   -0.25	   -0.15	   -0.01	   -0.20	   -0.27	   -0.25	   -0.36	   -0.48	   -0.10	   -0.34	   -0.18	   -0.39	   -0.27	   -0.05	   -0.19	   -0.39	   -0.27	   -0.51	   -0.30	   -0.25	   -0.25	    0.05	    0.27	    1.81	    0.00	    0.74	   -1.25	    0.46	   -1.89	    0.76	    0.86	    0.50	   -0.24	    0.82	    0.22	   -0.65	   -2.21	    0.08	    0.32	   -1.15	    1.15	    1.67	   -0.54	    0.11	    0.03	    0.30	   -0.84	   -0.08	   -0.19	   -0.68	    0.83	    2.66	    2.05	    0.01	   -0.25	   -0.25	    0.01	   -0.17	    0.10	   -0.23	    0.02	   -0.21	   -0.18	   -0.40	    0.76	   -0.23	   -0.17	   -0.03	    0.24	    0.18	    0.02	   -0.16	   -0.14	   -0.09	   -0.07	 -179.58	 -193.33	 -185.81	 -150.45	  -98.70	 1586.05	   70.89	   -0.06	   -0.18	   -0.13	   -0.20	   -0.09	   -0.06	   -0.04	   -0.16	    0.16	   -0.15	   -0.02	   -0.14	   -0.67	   -0.16	   -0.10	   -0.05	   -0.12	   -0.33	   -0.15	   -0.29	   -0.32	    0.35	   -0.19	   -0.24	    0.03	   -0.16	    0.01	   -0.03	   -0.09	    0.17	   -0.13	   -0.07	   -0.41	    0.00	   -0.04	   -0.00	    0.06	    0.08	    0.05	    0.18	    0.13	    0.02	   -0.03	   -0.22	   -0.12	   -0.21	   -0.38	    0.03	   -0.14	    0.11	   -0.00	    0.06	   -0.05	   -0.15	   -0.01	    0.01	   -0.02	    0.07	   -0.14	    0.05	    0.18	   -0.22	   -0.07	   -0.01	    0.23	   -0.11	   -0.07	   -0.03	    0.02	   -0.01	    0.02	   -0.35	   -0.01	   -0.05	   -0.00	    0.10	   -0.08	   -0.19	    0.06	    0.01	    0.14	    0.07	   -0.14	   -0.03	   -0.06	   -0.04	   -0.02	    0.13	    0.00	   -0.10	    0.14	    0.09	   -0.09	   -0.05	   -0.12	   -0.03	   -0.06	   -0.03	   -0.10	    0.08	    0.08	   -0.14	   -0.03	    0.06	   -0.02	   -0.09	    0.03	   -0.05	    0.10	   -0.12	   -0.07	    0.08	   -0.08	   -0.08	   -0.02	    0.01	   -0.02	    0.08	   -0.04	    0.08	   -0.17	   -0.03	    0.00	   -0.08	   -0.02	   -0.05	   -0.11	    0.00	    0.00	    0.00
       4	 18:30:17	   0.000	  -7.000	  633.26	 1008.88	   21.89	    1520	    2740	    1388	       7	     659	   -1210	   0.000	   0.000	   0.000	   1.191	  1490.2	    50.0	  539455	   13.97	   28.79	  101.71	    7.97	   -6.16	    7.95	   0.000	 0.00000	 0.00000	   0.000	   0.000	   0.000	   0.000	 584.411	  28.285	 1490.20	    0.00	    0.00	    0.00	    0.22	    0.26	   -0.39	    3.00	    2.65	    0.21	    0.49	    1.08	    4.48	    2.68	   -1.22	    2.69	    0.26	   -0.05	    2.64	    0.59	    0.74	    0.38	    1.21	   -0.11	    0.80	    2.62	    1.42	    1.31	    1.81	   -0.94	    1.80	   -0.27	   -1.36	    1.34	    0.62	    0.49	   -0.19	   -0.27	   -0.19	   -0.21	   -0.31	   -0.22	   -0.25	   -0.34	   -0.04	   -0.30	   -0.36	   -0.25	   -0.16	    0.00	   -0.18	   -0.27	   -0.24	   -0.30	   -0.48	   -0.05	   -0.33	   -0.17	   -0.41	   -0.23	   -0.05	   -0.15	   -0.41	   -0.31	   -0.52	   -0.31	   -0.25	   -0.24	    0.16	    0.25	    1.94	    0.14	    1.06	   -0.98	    0.43	   -1.54	    1.03	    1.01	    0.42	   -0.35	    0.92	    0.57	   -0.46	   -2.03	    0.24	    0.39	   -0.66	    1.15	    1.81	   -0.13	    0.19	    0.22	    0.19	   -0.23	    0.09	    0.05	   -0.37	    0.99	    2.71	    1.94	   -0.02	   -0.26	   -0.27	    0.01	   -0.18	    0.04	   -0.27	    0.01	   -0.26	   -0.21	   -0.40	    0.77	   -0.20	   -0.18	   -0.02	    0.24	    0.17	    0.02	   -0.14	   -0.15	   -0.12	   -0.07	 -181.43	 -192.54	 -183.71	 -147.88	  -93.28	 1584.77	   69.24	   -0.06	   -0.22	   -0.15	   -0.20	   -0.13	   -0.14	   -0.11	   -0.17	    0.08	   -0.20	   -0.08	   -0.16	   -0.68	   -0.21	   -0.14	   -0.07	   -0.12	   -0.35	   -0.14	   -0.24	   -0.33	    0.38	   -0.26	   -0.19	    0.01	   -0.16	    0.03	   -0.02	   -0.09	    0.13	   -0.13	   -0.06	   -0.43	   -0.01	   -0.05	   -0.05	    0.04	    0.06	    0.03	    0.13	    0.05	   -0.00	   -0.08	   -0.27	   -0.14	   -0.25	   -0.42	    0.02	   -0.18	    0.04	   -0.05	   -0.03	   -0.06	   -0.20	   -0.05	   -0.06	   -0.04	   -0.01	   -0.22	   -0.04	    0.11	   -0.26	   -0.17	   -0.08	    0.14	   -0.26	   -0.09	   -0.04	   -0.00	    0.01	    0.03	   -0.41	   -0.04	   -0.02	    0.01	    0.11	   -0.05	   -0.17	    0.09	   -0.01	    0.16	    0.08	   -0.13	   -0.05	   -0.05	   -0.05	   -0.04	    0.18	    0.00	   -0.11	    0.13	    0.12	   -0.08	   -0.06	   -0.12	   -0.05	   -0.04	   -0.01	   -0.11	    0.08	    0.08	   -0.13	   -0.03	    0.05	    0.03	   -0.08	    0.04	   -0.05	    0.12	   -0.11	   -0.07	    0.07	   -0.09	   -0.09	   -0.01	   -0.00	   -0.00	    0.10	   -0.04	    0.09	   -0.13	   -0.02	    0.05	   -0.04	    0.00	   -0.05	   -0.12	    0.00	    0.00	    0.00
       5	 18:30:42	   0.000	  -6.000	  633.22	 1008.90	   21.93	    1571	    2267	    1241	     112	     691	   -1027	   0.000	   0.000	   0.000	   1.191	  1490.1	    50.0	  539360	   14.44	   23.50	   99.97	    6.46	   -6.23	    6.75	   0.000	 0.00000	 0.00000	   0.000	   0.000	   0.000	   0.000	 583.513	  28.285	 1490.13	    0.00	    0.00	    0.00	    0.54	    0.26	   -0.50	    3.11	    2.27	    0.15	    1.14	    1.30	    3.25	    2.79	   -0.69	    2.95	    0.21	    0.05	    2.53	    0.54	    0.95	    0.27	    1.63	   -0.11	    0.43	    2.51	    1.25	    0.73	    1.92	   -0.89	    2.01	   -0.16	   -0.60	    1.23	    0.68	    0.49	   -0.23	   -0.35	   -0.21	   -0.23	   -0.36	   -0.23	   -0.26	   -0.44	   -0.07	   -0.32	   -0.40	   -0.29	   -0.22	   -0.04	   -0.24	   -0.29	   -0.27	   -0.38	   -0.51	   -0.09	   -0.41	   -0.21	   -0.46	   -0.26	   -0.13	   -0.21	   -0.44	   -0.33	   -0.51	   -0.34	   -0.26	   -0.28	    0.05	    0.25	    1.78	    0.08	    0.90	   -1.33	    0.62	   -2.02	    0.73	    0.88	    0.28	   -0.65	    0.84	    0.22	   -0.64	   -2.08	    0.42	    0.34	   -0.82	    0.87	    1.70	   -0.38	    0.21	    0.11	   -0.05	   -0.66	   -0.66	   -0.16	   -0.45	    1.05	    2.87	    2.05	   -0.05	   -0.30	   -0.23	   -0.01	   -0.16	    0.02	   -0.26	    0.01	   -0.25	   -0.20	   -0.45	    0.79	   -0.24	   -0.19	   -0.05	    0.23	    0.20	    0.02	   -0.16	   -0.15	   -0.16	   -0.06	 -182.16	 -190.65	 -180.50	 -144.19	  -87.08	 1581.32	   66.57	   -0.07	   -0.22	   -0.18	   -0.28	   -0.14	   -0.15	   -0.08	   -0.23	    0.11	   -0.19	   -0.06	   -0.11	   -0.69	   -0.19	   -0.13	   -0.04	   -0.14	   -0.37	   -0.20	   -0.32	   -0.36	    0.38	   -0.24	   -0.16	    0.08	   -0.22	    0.03	    0.03	   -0.09	    0.16	   -0.13	   -0.04	   -0.38	    0.04	   -0.05	   -0.03	    0.04	    0.05	    0.03	    0.14	    0.08	   -0.00	   -0.07	   -0.22	   -0.14	   -0.21	   -0.40	    0.01	   -0.17	    0.04	   -0.03	    0.00	   -0.07	   -0.19	   -0.06	    0.00	    0.00	    0.06	   -0.18	   -0.04	    0.16	   -0.20	   -0.11	   -0.06	    0.19	   -0.17	   -0.06	   -0.10	   -0.03	   -0.05	   -0.02	   -0.49	   -0.06	   -0.05	   -0.04	    0.05	   -0.10	   -0.20	    0.05	   -0.03	    0.10	    0.01	   -0.14	   -0.08	   -0.10	   -0.08	   -0.06	    0.13	   -0.03	   -0.17	    0.09	    0.04	   -0.11	   -0.11	   -0.15	   -0.06	   -0.09	   -0.03	   -0.13	    0.03	    0.03	   -0.15	   -0.07	    0.02	   -0.06	   -0.15	   -0.15	   -0.11	    0.05	   -0.15	   -0.12	    0.00	   -0.14	   -0.15	   -0.09	   -0.04	   -0.10	    0.03	   -0.09	    0.05	   -0.23	   -0.08	   -0.05	   -0.12	   -0.08	   -0.11	   -0.17	    0.00	    0.00	    0.00
       6	 18:31:06	   0.000	  -5.000	  632.70	 1008.85	   21.98	    1614	    1725	    1081	     232	     723	    -803	   0.000	   0.000	   0.000	   1.191	  1488.9	    50.0	  539017	   14.83	   17.63	   98.30	    4.81	   -6.22	    5.27	   0.000	 0.00000	 0.00000	   0.000	   0.000	   0.000	   0.000	 582.525	  28.285	 1488.88	    0.00	    0.00	    0.00	    0.32	    0.48	   -0.55	    3.28	    2.11	    0.36	    0.65	    1.35	    2.93	    2.41	   -0.85	    2.90	    0.21	   -0.11	    2.53	    0.59	    0.58	    0.22	    1.47	   -0.27	    0.69	    2.24	    1.14	    0.84	    2.13	   -1.25	    1.80	    0.05	   -1.19	    1.18	    0.47	    0.33	   -0.27	   -0.38	   -0.25	   -0.25	   -0.40	   -0.26	   -0.26	   -0.48	   -0.09	   -0.36	   -0.46	   -0.30	   -0.25	   -0.08	   -0.26	   -0.32	   -0.26	   -0.40	   -0.51	   -0.16	   -0.43	   -0.25	   -0.45	   -0.29	   -0.15	   -0.23	   -0.46	   -0.39	   -0.55	   -0.37	   -0.31	   -0.29	    0.16	    0.11	    1.65	   -0.20	    0.50	   -1.30	    0.38	   -1.83	    0.90	    0.88	    0.44	   -0.40	    0.79	    0.25	   -0.67	   -2.16	    0.24	    0.18	   -1.09	    0.87	    1.59	   -0.43	    0.18	   -0.11	    0.11	   -0.63	   -0.18	   -0.49	   -0.50	    0.86	    3.08	    1.86	   -0.03	   -0.31	   -0.28	   -0.03	   -0.22	   -0.00	   -0.30	   -0.01	   -0.25	   -0.23	   -0.48	    0.82	   -0.26	   -0.22	   -0.06	    0.21	    0.15	   -0.01	   -0.20	   -0.22	   -0.20	   -0.14	 -181.61	 -187.39	 -175.89	 -139.36	  -80.06	 1577.42	   63.23	   -0.09	   -0.22	   -0.21	   -0.30	   -0.19	   -0.19	   -0.12	   -0.28	    0.02	   -0.22	   -0.09	   -0.21	   -0.78	   -0.20	   -0.17	   -0.10	   -0.23	   -0.44	   -0.19	   -0.37	   -0.42	    0.30	   -0.29	   -0.22	    0.01	   -0.22	   -0.03	   -0.05	   -0.11	    0.16	   -0.16	   -0.10	   -0.45	   -0.10	   -0.10	   -0.06	    0.00	    0.01	   -0.04	    0.17	    0.07	   -0.03	   -0.14	   -0.24	   -0.17	   -0.28	   -0.48	   -0.02	   -0.20	    0.04	   -0.09	   -0.03	   -0.09	   -0.23	   -0.10	   -0.04	   -0.06	    0.01	   -0.25	   -0.04	    0.09	   -0.24	   -0.17	   -0.11	    0.11	   -0.23	   -0.13	   -0.12	   -0.04	   -0.07	   -0.04	   -0.57	   -0.11	   -0.10	   -0.06	    0.04	   -0.12	   -0.21	    0.05	   -0.05	    0.12	    0.01	   -0.19	   -0.07	   -0.13	   -0.09	   -0.09	    0.10	   -0.03	   -0.15	    0.06	    0.00	   -0.13	   -0.12	   -0.17	   -0.08	   -0.10	   -0.07	   -0.14	    0.00	    0.00	   -0.14	   -0.09	   -0.04	   -0.06	   -0.15	   -0.16	   -0.16	    0.02	   -0.20	   -0.17	   -0.02	   -0.13	   -0.16	   -0.12	   -0.10	   -0.12	    0.03	   -0.13	   -0.00	   -0.22	   -0.09	   -0.06	   -0.17	   -0.09	   -0.14	   -0.20	    0.00	    0.00	    0.00
