  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
      17	   0.000	   5.995	  0.2487	0.032037	 0.08064	-0.03191	0.023437	  0.2487	0.083550	-0.00389	-0.09407	-0.01620	0.023439	-0.083550	0.248654	-0.01749	-0.09788	-0.01620	   11.09	  -28.70	   88.46	   -8.41	   -4.66	   -7.79	  632.02	 1008.90	   22.30	   1.190	  1487.3	   50.00	4.180E+5	   0.145
      18	   0.000	   7.000	  0.2545	0.033282	 0.09315	-0.02837	0.021680	  0.2545	0.096513	-0.00416	-0.09199	-0.01779	0.021682	-0.096513	0.254477	-0.01986	-0.09552	-0.01779	   10.48	  -33.15	   90.43	   -9.55	   -4.52	   -8.56	  631.85	 1008.77	   22.33	   1.189	  1486.9	   50.00	4.179E+5	   0.145
      19	   0.000	   8.000	  0.2579	0.035763	 0.10221	-0.02881	0.021189	  0.2579	0.106191	-0.00371	-0.09328	-0.01821	0.021191	-0.106191	0.257914	-0.02099	-0.09673	-0.01821	   10.31	  -36.46	   91.59	  -10.09	   -4.59	   -8.75	  631.69	 1008.82	   22.36	   1.189	  1486.5	   50.00	4.178E+5	   0.145
      20	   0.000	   8.995	  0.2611	0.039181	 0.10775	-0.03234	0.021851	  0.2611	0.112549	-0.00272	-0.09761	-0.01751	0.021853	-0.112549	0.261086	-0.02103	-0.10117	-0.01751	   10.53	  -38.63	   92.63	  -10.10	   -4.84	   -8.41	  631.38	 1008.81	   22.39	   1.189	  1485.7	   49.99	4.176E+5	   0.145
      21	   0.000	  10.000	  0.2630	0.042095	 0.11168	-0.03465	0.022061	  0.2630	0.117290	-0.00155	-0.10040	-0.01623	0.022063	-0.117290	0.262994	-0.02064	-0.10399	-0.01623	   10.61	  -40.25	   93.28	   -9.92	   -5.00	   -7.80	  631.35	 1008.82	   22.41	   1.189	  1485.7	   49.99	4.176E+5	   0.145
      22	   0.000	 -10.000	  0.2018	0.040762	-0.03426	-0.06390	0.034192	  0.2018	-0.040823	-0.00074	-0.11436	 0.00061	0.034193	0.040823	0.201815	 0.00590	-0.11992	 0.00061	    5.33	    5.06	   26.10	    1.02	   -2.13	    0.11	  229.65	 1008.84	   21.64	   1.192	   536.5	   30.00	2.518E+5	   0.087
      23	   0.000	  -9.000	  0.1999	0.037805	-0.02516	-0.05826	0.033402	  0.1999	-0.030764	-0.00007	-0.10823	 0.00018	0.033404	0.030764	0.199882	 0.00493	-0.11367	 0.00018	    5.24	    3.82	   25.89	    0.86	   -2.01	    0.03	  229.93	 1008.85	   21.61	   1.192	   537.1	   30.02	2.519E+5	   0.087
      24	   0.000	  -8.000	  0.1981	0.035085	-0.01503	-0.05365	0.032650	  0.1981	-0.019768	 0.00034	-0.10318	-0.00057	0.032652	0.019768	0.198109	 0.00355	-0.10849	-0.00057	    5.14	    2.45	   25.63	    0.62	   -1.90	   -0.10	  229.53	 1008.83	   21.58	   1.192	   536.2	   29.99	2.517E+5	   0.087
      25	   0.000	  -7.000	  0.1956	0.031677	-0.01526	-0.04753	0.029580	  0.1956	-0.019003	 0.00082	-0.09643	 0.00160	0.029581	0.019003	0.195597	 0.00391	-0.10124	 0.00160	    4.76	    2.36	   25.34	    0.68	   -1.75	    0.28	  229.75	 1008.78	   21.55	   1.192	   536.7	   30.00	2.519E+5	   0.087
      26	   0.000	  -6.000	  0.1891	0.027462	-0.02408	-0.04054	0.024793	  0.1891	-0.026818	 0.00084	-0.08782	 0.00608	0.024795	0.026818	0.189113	 0.00520	-0.09186	 0.00608	    4.17	    3.33	   24.56	    0.90	   -1.56	    1.06	  229.94	 1008.77	   21.52	   1.193	   537.1	   30.01	2.520E+5	   0.087
      27	   0.000	  -5.000	  0.1792	0.020704	-0.04685	-0.02112	0.016541	  0.1792	-0.048479	 0.00421	-0.06593	 0.01474	0.016542	0.048479	0.179247	 0.01210	-0.06862	 0.01474	    3.15	    6.01	   23.33	    2.10	   -1.08	    2.56	  229.88	 1008.81	   21.49	   1.193	   537.0	   30.01	2.520E+5	   0.087
      28	   0.000	  -4.000	  0.1816	0.019272	-0.03056	-0.01822	0.017093	  0.1816	-0.031828	 0.00352	-0.06362	 0.01161	0.017094	0.031828	0.181582	 0.00869	-0.06640	 0.01161	    3.22	    3.95	   23.65	    1.51	   -1.04	    2.02	  230.19	 1008.80	   21.45	   1.193	   537.7	   30.03	2.522E+5	   0.087
      29	   0.000	  -3.000	  0.1817	0.018704	-0.01603	-0.02112	0.017838	  0.1817	-0.016989	 0.00302	-0.06656	 0.00904	0.017839	0.016989	0.181745	 0.00578	-0.06946	 0.00904	    3.31	    2.11	   23.63	    1.00	   -1.10	    1.57	  229.75	 1008.81	   21.44	   1.193	   536.7	   30.00	2.520E+5	   0.087
      30	   0.000	  -2.000	  0.1803	0.018755	-0.00463	-0.02468	0.018580	  0.1803	-0.005286	 0.00256	-0.06975	 0.00671	0.018581	0.005286	0.180276	 0.00342	-0.07277	 0.00671	    3.40	    0.66	   23.47	    0.59	   -1.17	    1.17	  229.96	 1008.80	   21.41	   1.193	   537.2	   30.01	2.522E+5	   0.087
      31	   0.000	  -1.000	  0.1797	0.018796	 0.00618	-0.02407	0.018900	  0.1797	0.005851	 0.00205	-0.06901	 0.00438	0.018901	-0.005851	0.179737	 0.00110	-0.07208	 0.00438	    3.44	   -0.73	   23.39	    0.19	   -1.15	    0.76	  229.90	 1008.79	   21.39	   1.193	   537.1	   30.00	2.522E+5	   0.087
