  Run_nr	    Time	   Alpha	    Beta	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6
       /	   H:M:S	 degrees	 degrees	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps
       0	 18:49:48	   4.995	 -10.000	 1008.80	   21.05	    -0.9	     0.0	     0.0	     0.0	     0.0	     0.0
       0	 18:50:10	   4.995	  -9.000	 1008.74	   21.04	    -3.7	     0.5	    -0.8	     1.5	     1.0	    -0.3
       0	 18:50:27	   4.995	  -8.000	 1008.77	   21.02	    -5.2	     2.8	    -1.6	     1.6	     2.1	    -0.8
       0	 18:50:45	   4.995	  -7.000	 1008.83	   21.02	    -5.7	     6.5	    -2.5	     1.5	     4.0	    -1.8
       0	 18:51:01	   4.995	  -6.000	 1008.78	   21.01	    -9.6	     9.4	    -3.0	     1.8	     5.0	    -3.7
       0	 18:51:18	   4.995	  -5.000	 1008.81	   21.00	   -20.0	    15.3	    -4.0	     2.5	     6.0	    -5.8
       0	 18:51:34	   4.995	  -4.000	 1008.73	   21.00	   -26.1	    19.9	    -5.0	     2.9	     7.2	    -8.6
       0	 18:51:54	   4.995	  -3.000	 1008.79	   20.99	   -19.9	    19.7	    -5.0	     3.3	     6.6	    -8.1
       0	 18:52:10	   4.995	  -2.000	 1008.77	   20.98	   -14.3	    19.6	    -4.7	     2.9	     5.9	    -7.2
       0	 18:52:29	   4.995	  -1.000	 1008.77	   20.96	   -17.0	    20.6	    -5.0	     3.4	     6.1	    -8.6
       0	 18:52:46	   4.995	   0.000	 1008.75	   20.94	   -16.2	    23.4	    -6.4	     3.2	     7.0	    -9.9
       0	 18:53:04	   4.995	   1.000	 1008.77	   20.94	   -16.2	    26.9	    -6.0	     3.6	     7.5	   -10.4
       0	 18:53:22	   4.995	   1.995	 1008.79	   20.94	   -15.9	    29.0	    -6.0	     3.9	     8.3	   -11.2
       0	 18:53:39	   4.995	   3.005	 1008.79	   20.92	   -17.4	    32.1	    -6.9	     4.3	     8.4	   -11.8
       0	 18:53:58	   4.995	   4.000	 1008.79	   20.90	   -15.5	    33.6	    -7.0	     4.5	     8.3	   -12.1
       0	 18:54:18	   4.995	   5.005	 1008.76	   20.88	   -13.8	    35.6	    -7.0	     4.6	     8.5	   -11.8
       0	 18:54:44	   4.995	   5.995	 1008.85	   20.88	   -15.5	    38.4	    -8.0	     4.7	     8.8	   -12.9
       0	 18:55:02	   4.995	   7.000	 1008.76	   20.86	   -12.8	    40.4	    -8.0	     5.2	     9.4	   -13.1
       0	 18:55:20	   4.995	   8.000	 1008.76	   20.84	   -12.4	    42.4	    -8.1	     5.4	    10.1	   -13.3
       0	 18:55:37	   4.995	   8.995	 1008.78	   20.82	   -12.1	    44.4	    -9.0	     5.5	    11.0	   -14.8
       0	 18:55:53	   4.995	  10.000	 1008.76	   20.82	   -12.4	    47.3	    -9.6	     5.6	    11.6	   -16.2
