  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
       1	 19:45:41	  10.000	  -9.995	  407.22	 1008.56	   21.33	  2258.8	  1261.3	  1997.0	  1041.2	  1662.6	  -192.7	 477.301	   1.193	   954.2	    40.0	  432657	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       2	 19:46:27	  10.000	  -9.000	  407.23	 1008.54	   21.40	  1979.0	  2092.2	  2129.9	   943.4	  1543.7	  -737.2	 477.039	   1.193	   954.2	    40.0	  432534	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       3	 19:47:12	  10.000	  -7.995	  407.13	 1008.53	   21.44	  2041.7	  1854.4	  2019.1	   991.7	  1597.6	  -682.5	 476.896	   1.193	   954.0	    40.0	  432397	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       4	 19:47:50	  10.000	  -7.000	  407.17	 1008.54	   21.46	  2239.2	  1696.9	  1853.8	   915.2	  1769.3	  -696.0	 476.897	   1.193	   954.1	    40.0	  432381	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       5	 19:48:27	  10.000	  -6.000	  407.23	 1008.51	   21.48	  2290.6	  1399.1	  1744.9	   977.7	  1803.1	  -591.4	 476.557	   1.192	   954.2	    40.0	  432361	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       6	 19:49:07	  10.000	  -5.000	  407.14	 1008.50	   21.51	  2314.5	  1157.4	  1663.6	  1035.5	  1826.2	  -505.3	 476.171	   1.192	   954.0	    40.0	  432265	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       7	 19:49:52	  10.000	  -4.000	  407.06	 1008.52	   21.52	  2341.9	   870.7	  1571.0	  1099.2	  1848.7	  -394.3	 475.282	   1.192	   953.8	    40.0	  432205	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       8	 19:50:52	  10.000	  -3.000	  407.06	 1008.49	   21.56	  2370.3	   608.5	  1490.2	  1155.4	  1865.2	  -286.2	 474.869	   1.192	   953.8	    40.0	  432129	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       9	 19:52:54	  10.000	  -2.000	  406.95	 1008.48	   21.60	  2394.6	   378.9	  1416.4	  1208.4	  1879.2	  -195.1	 474.804	   1.192	   953.6	    40.0	  431995	    0.00	    0.00	    0.00	    0.00	    0.00	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
