config,de,dr,run,AoA,AoS,V,Re,rpsM2,J,CL,CD,CM25c,CYaw
de0dr0,0,0,1,0,0,20.0081487079922,228732.696759503,61.51,1.60080147552925,0.240050137701497,-0.0237545816854334,-0.0448737782827087,0.0129825993153639
de0dr0,0,0,2,7.996,0,20.0295452291009,229230.978722718,61.51,1.60251335717617,1.06098085226406,0.0213047827845533,-0.359784889107691,0.00155399496075659
de0dr0,0,0,3,-3.996,0,19.250774017212,237730.061974098,61.51,1.54020583821049,-0.225815957500431,-0.0188786376883223,0.118632678523878,0.0107979309141214
de0dr0,0,0,4,-3.996,0,19.9982407040791,229028.228502059,51.8,1.8999331833596,-0.217044027753051,0.029139964000024,0.112366500257399,0.00842412113155407
de0dr0,0,0,5,7.996,0,19.9781847258564,228828.877010518,51.8,1.89802776482234,1.04640738015683,0.0674300646779439,-0.336433672975395,0.00266416800283904
de0dr0,0,0,6,0.004,0,19.9737779875247,228804.797931762,51.8,1.89760910257546,0.240162894035497,0.025776879115224,-0.0399103379137445,0.0107760204042457
de0dr0,0,0,7,0.004,0,20.0245055437229,229404.856224156,44.73,2.20312530736947,0.239088532179941,0.0517729187837232,-0.0358345534188308,0.00821130448875236
de0dr0,0,0,8,-4,0,19.8914877123822,231229.659125907,44.73,2.18849049154751,-0.215810717828432,0.0550139632046669,0.107982343133799,0.00476005303427667
de0dr0,0,0,9,7.996,0,20.0286942785429,229471.810241601,44.73,2.203586158084,1.03851374819691,0.0934187046953978,-0.326757558035633,0.00406176713257547
de0dr0,0,0,10,7.996,0,39.9925149998783,457115.573208869,89.47,2.19977152196566,1.04798295248652,0.0805804561742506,-0.340560013290646,0.0023287799887883
de0dr0,0,0,11,0.004,0,40.0397449764714,457211.15317335,89.48,2.20212325723556,0.24421864582795,0.0399290060488306,-0.0251541181612064,0.00754982991192056
de0dr0,0,0,12,-4,0,40.0353202879706,456778.803663259,89.48,2.20187990629865,-0.227304703493702,0.0444453141115353,0.13180802780402,0.00557084917741072
de0dr0,0,0,13,-4,0,40.0168710647302,456235.1006671,103.6,1.90090174318672,-0.230058885224601,0.0135964897220588,0.135852686890398,0.00930934010655521
de0dr0,0,0,14,0.004,0,38.4758926098214,472868.554528238,103.6,1.82770140160052,0.24192700650691,0.00925533775896379,-0.0184223598166567,0.00903430660164801
de0dr0,0,0,15,7.996,0,40.0434115858791,456095.26421022,103.6,1.90216248450844,1.05236767649644,0.0508838079564737,-0.334958446203273,0.000797731294641347
de0dr0,0,0,16,7.996,0,40.0280815921065,456009.478767575,123,1.60153325619785,1.06716906588289,0.00267806720598762,-0.357428852396794,-0.00547134711424451
de0dr0,0,0,17,-3.996,0,39.9773288850638,455052.67487677,123,1.59950262807534,-0.236013981697953,-0.0356798521814428,0.144036511988735,0.0145240527570896
de0dr0,0,0,18,-0.004,0,40.0277475340835,455341.17141666,123.01,1.60138969617106,0.240057889784113,-0.0409307202309851,-0.0180812043095898,0.010373570200517
de5dr0,5,0,19,-0.004,0,39.9901217144429,455303.983412896,123,1.60001447228262,0.284555777914716,-0.0395171596337806,-0.160645820593797,0.00795727389746189
de5dr0,5,0,20,8,0,39.9963585117756,455397.72315873,123,1.60026400805709,1.10957747908381,0.00881928591468301,-0.501990753545376,-0.00560768750508514
de5dr0,5,0,21,-3.996,0,39.9654960762203,454814.622006505,123,1.59902919452261,-0.188524798099528,-0.0368661989593553,-0.00474648448218625,0.0129823825644476
de5dr0,5,0,22,-3.996,0,40.0355517178333,455284.512822311,89.5,2.20140059153176,-0.187353850091949,0.0443840387274966,0.00710497661610652,0.00288437592360812
de5dr0,5,0,23,7.996,0,40.0450154190586,455477.365431238,89.51,2.20167496676232,1.08069921434687,0.0871639290239333,-0.450101772334613,0.00260912061619771
de5dr0,5,0,24,0.004,0,39.9555217172601,454383.483103226,89.51,2.19675460299492,0.277718389750621,0.042224175315409,-0.13618809598018,0.00448317888579466
