config,de,dr,run,AoA,AoS,V,Re,rpsM2,J,CL,CD,CM25c,CYaw,CMroll,CMyaw,matchSourceRow,matchSameVnom,dAoA_match,dAoS_match,dV_match,matchScore,AoA_on,AoS_on,V_on,Re_on,rpsM2_on,J_on
de0dr0,0,0,1,0.001,0,19.9986889181465,NaN,NaN,NaN,0.232924848568094,0.0602116062589223,-0.0395064995199609,0.0108716243459576,-0.00586592043079121,-0.00259653834780009,177,1,0.001,0,-0.00945978984562856,0.00132777046336463,0,0,20.0081487079922,228732.696759503,61.51,1.60080147552925
de0dr0,0,0,2,8,0,19.9923035304933,NaN,NaN,NaN,1.01723573725759,0.100432730223038,-0.311778178475572,0.0086896515060245,-0.0035204251106513,-0.00291264199895762,185,1,0.00399999999999956,0,-0.0372416986075876,0.00592411737666776,7.996,0,20.0295452291009,229230.978722718,61.51,1.60251335717617
de0dr0,0,0,3,-5.002,0,19.9964675042483,NaN,NaN,NaN,-0.325793896139689,0.0665682162265342,0.133426518589106,0.00670431516623601,-0.00566461627405461,-0.00179423297397541,179,1,-1.006,0,0.745693487036302,1.00688312393792,-3.996,0,19.250774017212,237730.061974098,61.51,1.54020583821049
de0dr0,0,0,4,-5.002,0,19.9964675042483,NaN,NaN,NaN,-0.325793896139689,0.0665682162265342,0.133426518589106,0.00670431516623601,-0.00566461627405461,-0.00179423297397541,179,1,-1.006,0,-0.00177319983079371,1.00688312393792,-3.996,0,19.9982407040791,229028.228502059,51.8,1.8999331833596
de0dr0,0,0,5,8,0,19.9923035304933,NaN,NaN,NaN,1.01723573725759,0.100432730223038,-0.311778178475572,0.0086896515060245,-0.0035204251106513,-0.00291264199895762,185,1,0.00399999999999956,0,0.0141188046369187,0.00592411737666776,7.996,0,19.9781847258564,228828.877010518,51.8,1.89802776482234
de0dr0,0,0,6,0.005,0,19.9977136612127,NaN,NaN,NaN,0.231951825727362,0.0604208171974778,-0.0375378995728665,0.0107067956981635,-0.00582398783826833,-0.00264851292794859,192,1,0.001,0,0.0239356736880261,0.00157158469681973,0.004,0,19.9737779875247,228804.797931762,51.8,1.89760910257546
de0dr0,0,0,7,0.005,0,19.9977136612127,NaN,NaN,NaN,0.231951825727362,0.0604208171974778,-0.0375378995728665,0.0107067956981635,-0.00582398783826833,-0.00264851292794859,192,1,0.001,0,-0.0267918825102065,0.00157158469681973,0.004,0,20.0245055437229,229404.856224156,44.73,2.20312530736947
de0dr0,0,0,8,-5.002,0,19.9964675042483,NaN,NaN,NaN,-0.325793896139689,0.0665682162265342,0.133426518589106,0.00670431516623601,-0.00566461627405461,-0.00179423297397541,179,1,-1.002,0,0.104979791866132,1.00288312393792,-4,0,19.8914877123822,231229.659125907,44.73,2.18849049154751
de0dr0,0,0,9,8,0,19.9923035304933,NaN,NaN,NaN,1.01723573725759,0.100432730223038,-0.311778178475572,0.0086896515060245,-0.0035204251106513,-0.00291264199895762,185,1,0.00399999999999956,0,-0.036390748049616,0.00592411737666776,7.996,0,20.0286942785429,229471.810241601,44.73,2.203586158084
de0dr0,0,0,10,8,0,39.9875154796463,NaN,NaN,NaN,1.02157022821759,0.0934716681152372,-0.321817254382517,0.00784827844164683,-0.00339885163961007,-0.00271291235992582,217,1,0.00399999999999956,0,-0.00499952023197636,0.00712113008841619,7.996,0,39.9925149998783,457115.573208869,89.47,2.19977152196566
