config,de,dr,run,AoA,AoS,V,Re,rpsM2,J,CL,CD,CM25c,CYaw,eps_total,eps_sb,eps_wb0
de0dr0,0,0,1,0.0,0,20.18051374846266,228732.696759503,61.51,1.60080147552925,0.23596703540037234,-0.022909559798517297,-0.0448737782827087,0.0129825993153639,0.008614742072644094,0.00815639608252413,0.0016692222222222221
de0dr0,0,0,2,7.996,0,20.20216511764827,229230.978722718,61.51,1.60251335717617,1.0429269519089728,0.021383223847946012,-0.359784889107691,0.0015539949607565,0.00861826299962969,0.00815639608252413,0.0016692222222222221
de0dr0,0,0,3,-3.996,0,19.41413877912021,237730.061974098,61.51,1.54020583821049,-0.22203158578316448,-0.018121173291085466,0.118632678523878,0.0107979309141214,0.008486139921550654,0.00815639608252413,0.0016692222222222221
de0dr0,0,0,4,-3.996,0,20.181158294371052,229028.228502059,51.8,1.8999331833596,-0.2131273794994258,0.029054628013009683,0.112366500257399,0.008424121131554,0.009146684100798937,0.00815639608252413,0.0016692222222222221
de0dr0,0,0,5,7.996,0,20.160860820109804,228828.877010518,51.8,1.89802776482234,1.027530448223575,0.06665415200393564,-0.336433672975395,0.002664168002839,0.009143778414310907,0.00815639608252413,0.0016692222222222221
de0dr0,0,0,6,0.004,0,20.15640102034351,228804.797931762,51.8,1.89760910257546,0.23583071321177745,0.025752412293960702,-0.0399103379137445,0.0107760204042457,0.009143139216470475,0.00815639608252413,0.0016692222222222221
de0dr0,0,0,7,0.004,0,20.215607182169244,229404.856224156,44.73,2.20312530736947,0.23458960705883317,0.05123886904330229,-0.0358345534188308,0.0082113044887523,0.009543388625955315,0.00815639608252413,0.0016692222222222221
de0dr0,0,0,8,-4.0,0,20.080993754737147,231229.659125907,44.73,2.18849049154751,-0.21175668950215573,0.05442069454006089,0.107982343133799,0.0047600530342766,0.009526991902017529,0.00815639608252413,0.0016692222222222221
de0dr0,0,0,9,7.996,0,20.219846150216064,229471.810241601,44.73,2.203586158084,1.0189710175077769,0.09210091340691598,-0.326757558035633,0.0040617671325754,0.009543900816237834,0.00815639608252413,0.0016692222222222221
de0dr0,0,0,10,7.996,0,40.36614766038365,457115.573208869,89.47,2.19977152196566,1.0286722913948112,0.07953597577352102,-0.340560013290646,0.0023287799887883,0.009342564740089085,0.00815639608252413,0.0014721333333333332
