config,de,dr,run,AoA,AoS,V,Re,CL,CD,CM25c,CYaw,eps_total,eps_sb,eps_wb0
de0dr0,0,0,1,0.19149573114856813,0,20.195188402051567,,0.2284141758157772,0.06048530511669109,-0.03981767352476542,0.0108716243459576,0.0098256183047463,0.0081563960825241,0.0016692222222222
de0dr0,0,0,2,8.601180572753185,0,20.18874027401656,,0.997536604464597,0.10888531559980281,-0.31276020450474523,0.0086896515060245,0.0098256183047463,0.0081563960825241,0.0016692222222222
de0dr0,0,0,3,,0,20.192945161388305,,-0.3194847811645265,,,0.006704315166236,0.0098256183047463,0.0081563960825241,0.0016692222222222
de0dr0,0,0,4,,0,20.192945161388305,,-0.3194847811645265,,,0.006704315166236,0.0098256183047463,0.0081563960825241,0.0016692222222222
de0dr0,0,0,5,8.601180572753185,0,20.18874027401656,,0.997536604464597,0.10888531559980281,-0.31276020450474523,0.0086896515060245,0.0098256183047463,0.0081563960825241,0.0016692222222222
de0dr0,0,0,6,0.19549573114856814,0,20.194203562615385,,0.2274599959093309,0.060690464610817896,-0.03784907357767102,0.0107067956981635,0.0098256183047463,0.0081563960825241,0.0016692222222222
de0dr0,0,0,7,0.19549573114856814,0,20.194203562615385,,0.2274599959093309,0.060690464610817896,-0.03784907357767102,0.0107067956981635,0.0098256183047463,0.0081563960825241,0.0016692222222222
de0dr0,0,0,8,,0,20.192945161388305,,-0.3194847811645265,,,0.006704315166236,0.0098256183047463,0.0081563960825241,0.0016692222222222
de0dr0,0,0,9,8.601180572753185,0,20.18874027401656,,0.997536604464597,0.10888531559980281,-0.31276020450474523,0.0086896515060245,0.0098256183047463,0.0081563960825241,0.0016692222222222
de0dr0,0,0,10,8.596828947838196,0,40.372536448709134,,1.0021783109960418,0.10195138501607463,-0.3227921563072465,0.0078482784416468,0.0096285294158574,0.0081563960825241,0.0014721333333333
de0dr0,0,0,11,0.19242968691137557,0,40.38375764980531,,0.2316072201860061,0.05422628968501302,-0.024297466282904127,0.0111408626893382,0.0096285294158574,0.0081563960825241,0.0014721333333333
de0dr0,0,0,12,,0,40.37242580413164,,-0.3323659723400976,,,0.009848859873053,0.0096285294158574,0.0081563960825241,0.0014721333333333
de0dr0,0,0,13,,0,40.37242580413164,,-0.3323659723400976,,,0.009848859873053,0.0096285294158574,0.0081563960825241,0.0014721333333333
de0dr0,0,0,14,0.19242968691137557,0,40.38375764980531,,0.2316072201860061,0.05422628968501302,-0.024297466282904127,0.0111408626893382,0.0096285294158574,0.0081563960825241,0.0014721333333333
de0dr0,0,0,15,8.596828947838196,0,40.372536448709134,,1.0021783109960418,0.10195138501607463,-0.3227921563072465,0.0078482784416468,0.0096285294158574,0.0081563960825241,0.0014721333333333
