config,de,dr,run,AoA,AoS,V,Re,rpsM2,J,CL,CD,CM25c,CYaw,eps_total,eps_sb,eps_wb0,C_T
de0dr0,0,0,1,0.190495731148568,0,20.1805137484627,228732.696759503,61.51,1.60080147552925,0.235967035400372,-0.0219097561654093,-0.0451849655602646,0.0129825993153639,0.008614742072644,0.0081563960825241,0.0016692222222222,0.214433757708378
de0dr0,0,0,2,8.59718057275319,0,20.2021651176483,229230.978722718,61.51,1.60251335717617,1.04292695190897,0.0313408104082597,-0.360766957023999,0.0015539949607565,0.0086182629996296,0.0081563960825241,0.0016692222222222,0.19971035773087
de0dr0,0,0,3,-4.03222097057313,0,19.4141387791202,237730.061974098,61.51,1.54020583821049,-0.222031585783164,-0.0180850269467386,0.118691847856204,0.0107979309141214,0.0084861399215506,0.0081563960825241,0.0016692222222222,0.200373855849112
de0dr0,0,0,4,-4.03222097057313,0,20.181158294371,229028.228502059,51.8,1.8999331833596,-0.213127379499426,0.0290907743573564,0.112425671181509,0.008424121131554,0.0091466841007989,0.0081563960825241,0.0016692222222222,0.130177781738575
de0dr0,0,0,5,8.59718057275319,0,20.1608608201098,228828.877010518,51.8,1.89802776482234,1.02753044822357,0.0766117385642493,-0.337415767311469,0.002664168002839,0.0091437784143109,0.0081563960825241,0.0016692222222222,0.107955215026474
de0dr0,0,0,6,0.194495731148568,0,20.1564010203435,228804.797931762,51.8,1.89760910257546,0.235830713211777,0.0267522159270686,-0.0402215335629162,0.0107760204042457,0.0091431392164704,0.0081563960825241,0.0016692222222222,0.114495228869001
de0dr0,0,0,7,0.194495731148568,0,20.2156071821692,229404.856224156,44.73,2.20312530736947,0.234589607058833,0.0522386726764101,-0.0361457522211074,0.0082113044887523,0.0095433886259553,0.0081563960825241,0.0016692222222222,0.0284783324276982
de0dr0,0,0,8,-4.03622097057313,0,20.0809937547371,231229.659125907,44.73,2.18849049154751,-0.211756689502156,0.0544568408844076,0.108041514657443,0.0047600530342766,0.0095269919020175,0.0081563960825241,0.0016692222222222,0.048884335420731
de0dr0,0,0,9,8.59718057275319,0,20.2198461502161,229471.810241601,44.73,2.203586158084,1.01897101750778,0.10205849996723,-0.32773966232251,0.0040617671325754,0.0095439008162378,0.0081563960825241,0.0016692222222222,0.0149036343955767
de0dr0,0,0,10,8.5928289478382,0,40.3661476603837,457115.573208869,89.47,2.19977152196566,1.02867229139481,0.0893499287692082,-0.341534988547238,0.0023287799887883,0.009342564740089,0.0081563960825241,0.0014721333333333,0.081037442699827
de0dr0,0,0,11,0.191429686911376,0,40.4139238081271,457211.15317335,89.48,2.20212325723556,0.239717305494801,0.0406012627194376,-0.0254603018805975,0.0075498299119205,0.0093451851872577,0.0081563960825241,0.0014721333333333,0.0982802856335445
de0dr0,0,0,12,-4.05249379064255,0,40.4094469264586,456778.803663259,89.48,2.20187990629865,-0.223115233919213,0.0441423935358278,0.131893781263511,0.0055708491774107,0.0093449143355657,0.0081563960825241,0.0014721333333333,0.103744788772162
de0dr0,0,0,13,-4.05249379064255,0,40.3750648815905,456235.1006671,103.6,1.90090174318672,-0.225994984253561,0.0138729110921605,0.135938439643781,0.0093093401065552,0.0089510700694428,0.0081563960825241,0.0014721333333333,0.188965493841198
de0dr0,0,0,14,0.191429686911376,0,38.8158432416811,472868.554528238,103.6,1.82770140160052,0.237707951235624,0.0105025877164026,-0.018728541014883,0.009034306601648,0.0088354189805844,0.0081563960825241,0.0014721333333333,0.169838259696154
de0dr0,0,0,15,8.5928289478382,0,40.4019197559079,456095.26421022,103.6,1.90216248450844,1.03377408013596,0.0602394039538981,-0.335933413431766,0.0007977312946413,0.008952987665897,0.0081563960825241,0.0014721333333333,0.169267525860207
de0dr0,0,0,16,8.5928289478382,0,40.3650843762385,456009.478767575,123,1.60153325619785,1.04942414287682,0.0128886316294125,-0.358403796906659,-0.0054713471142445,0.0084191590185641,0.0081563960825241,0.0014721333333333,0.247956227464495
de0dr0,0,0,17,-4.04849379064255,0,40.3137372176415,455052.67487677,123,1.59950262807534,-0.232091457968571,-0.0345697906123934,0.144122262743913,0.0145240527570896,0.0084149777376292,0.0081563960825241,0.0014721333333333,0.260420020924228
de0dr0,0,0,18,0.183429686911376,0,40.364735684485,455341.17141666,123.01,1.60138969617106,0.236066337413477,-0.0388411249478553,-0.0183873783732002,0.010373570200517,0.0084188636923558,0.0081563960825241,0.0014721333333333,0.253016210512433
