2.000,426.127,1025.797,13.120,1.248,998.862,40.004,1139951.406,0.000,0.000,0.000,0.000,-2.498,0.000,123.003,0.000,0.409,21.111,18.318,0.000,34.504,122.955,125.683,0.209,19.333,16.889,2.044,34.525,0.000,0.000,0.000,0.000,-67455.454,0.000,0.000,4.000,3.000,2025.000,8.000,38.000,51.000
2.000,426.124,1025.801,13.120,1.248,998.855,40.004,1139949.584,0.000,0.000,0.000,0.000,-2.498,0.000,123.015,0.000,0.346,18.591,18.356,0.000,33.457,123.098,125.032,0.331,19.011,16.913,2.473,33.331,0.000,0.000,0.000,0.000,-67455.475,0.000,0.000,4.000,3.000,2025.000,8.000,38.000,51.000
2.000,426.047,1025.803,13.120,1.248,998.673,40.000,1139846.884,0.000,0.000,0.000,0.000,-2.498,0.000,123.150,0.000,0.346,16.503,18.369,0.000,33.527,123.044,124.715,0.392,15.167,16.943,3.727,33.755,0.000,0.000,0.000,0.000,-67455.623,0.000,0.000,4.000,3.000,2025.000,8.000,38.000,52.000
2.000,426.037,1025.800,13.120,1.248,998.650,40.000,1139831.735,0.000,0.000,0.000,0.000,-2.498,0.000,123.033,0.000,0.254,19.404,18.412,0.000,34.003,122.949,128.086,0.300,19.508,16.937,0.949,34.098,0.000,0.000,0.000,0.000,-67455.647,0.000,0.000,4.000,3.000,2025.000,8.000,38.000,52.000
2.000,426.035,1025.801,13.120,1.248,998.645,40.000,1139829.594,0.000,0.000,0.000,0.000,-2.498,0.000,122.943,0.000,0.285,19.186,18.424,0.000,33.944,122.944,128.739,0.218,19.148,16.969,0.711,33.968,0.000,0.000,0.000,0.000,-67455.632,0.000,0.000,4.000,3.000,2025.000,8.000,38.000,53.000
2.000,426.045,1025.803,13.120,1.248,998.669,40.000,1139844.187,0.000,0.000,0.000,0.000,-2.498,0.000,123.097,0.000,0.469,17.583,18.435,0.000,33.226,123.100,129.710,0.361,21.847,16.997,0.778,34.616,0.000,0.000,0.000,0.000,-67455.590,0.000,0.000,4.000,3.000,2025.000,8.000,38.000,53.000
2.000,426.053,1025.802,13.120,1.248,998.687,40.001,1139854.418,0.000,0.000,0.000,0.000,-2.498,0.000,122.980,0.000,0.427,17.037,18.479,0.000,33.786,122.952,130.899,0.334,17.070,17.019,0.732,34.178,0.000,0.000,0.000,0.000,-67455.596,0.000,0.000,4.000,3.000,2025.000,8.000,38.000,54.000
2.000,426.072,1025.801,13.120,1.248,998.732,40.002,1139879.479,0.000,0.000,0.000,0.000,-2.498,0.000,122.954,0.000,0.347,20.969,18.494,0.000,34.584,122.976,127.710,0.279,17.457,17.041,0.617,33.359,0.000,0.000,0.000,0.000,-67455.525,0.000,0.000,4.000,3.000,2025.000,8.000,38.000,54.000
2.000,426.049,1025.800,13.120,1.248,998.678,40.000,1139847.914,0.000,0.000,0.000,0.000,-2.498,0.000,123.089,0.000,0.259,18.106,18.505,0.000,33.597,123.124,127.892,0.309,20.555,17.060,0.494,34.434,0.000,0.000,0.000,0.000,-67455.556,0.000,0.000,4.000,3.000,2025.000,8.000,38.000,55.000
2.000,426.047,1025.802,13.120,1.248,998.673,40.000,1139846.328,0.000,0.000,0.000,0.000,-2.498,0.000,123.024,0.000,0.349,17.932,18.509,0.000,34.500,123.014,128.712,0.351,19.322,17.076,0.545,33.951,0.000,0.000,0.000,0.000,-67455.640,0.000,0.000,4.000,3.000,2025.000,8.000,38.000,55.000
