41.000,419.506,1001.326,11.280,1.226,983.222,40.043,457433.772,0.000,0.000,0.000,0.000,0.004,0.000,89.389,0.000,0.169,1.342,13.297,0.000,44.270,89.630,-23.538,0.118,2.045,13.977,3.235,44.389,19.000,2.000,2026.000,15.000,46.000,33.000
41.000,419.483,1001.324,11.280,1.226,983.168,40.041,457420.678,0.000,0.000,0.000,0.000,0.004,0.000,89.466,0.000,0.137,4.270,13.321,0.000,45.089,89.424,-20.098,0.103,2.111,13.968,0.637,44.784,19.000,2.000,2026.000,15.000,46.000,34.000
41.000,419.439,1001.322,11.300,1.226,983.064,40.041,457354.893,0.000,0.000,0.000,0.000,0.004,0.000,89.458,0.000,0.064,1.353,13.326,0.000,45.050,89.443,-23.436,0.107,1.843,13.982,0.933,44.511,19.000,2.000,2026.000,15.000,46.000,34.000
41.000,419.406,1001.321,11.300,1.226,982.986,40.039,457336.534,0.000,0.000,0.000,0.000,0.004,0.000,89.370,0.000,0.133,1.374,13.332,0.000,45.159,89.305,-28.431,0.029,1.811,14.003,0.633,44.910,19.000,2.000,2026.000,15.000,46.000,35.000
41.000,419.375,1001.322,11.300,1.226,982.912,40.038,457319.729,0.000,0.000,0.000,0.000,0.004,0.000,89.465,0.000,0.107,3.136,13.311,0.000,45.271,89.396,-34.731,0.108,1.631,13.995,0.738,44.245,19.000,2.000,2026.000,15.000,46.000,35.000
41.000,419.381,1001.321,11.300,1.226,982.927,40.038,457322.797,0.000,0.000,0.000,0.000,0.004,0.000,89.535,0.000,0.112,2.291,13.335,0.000,44.620,89.462,-55.099,0.150,2.525,14.002,1.875,44.546,19.000,2.000,2026.000,15.000,46.000,36.000
41.000,419.385,1001.321,11.300,1.226,982.936,40.038,457324.995,0.000,0.000,0.000,0.000,0.004,0.000,89.482,0.000,0.173,1.680,13.310,0.000,45.110,89.380,-69.489,0.026,3.474,14.005,1.895,44.872,19.000,2.000,2026.000,15.000,46.000,36.000
41.000,419.394,1001.322,11.300,1.226,982.957,40.039,457330.169,0.000,0.000,0.000,0.000,0.004,0.000,89.682,0.000,0.091,1.745,13.330,0.000,44.508,89.491,-75.676,0.134,2.067,13.994,2.793,44.949,19.000,2.000,2026.000,15.000,46.000,37.000
41.000,419.367,1001.321,11.300,1.226,982.894,40.037,457315.105,0.000,0.000,0.000,0.000,0.004,0.000,89.570,0.000,0.227,4.041,13.343,0.000,45.274,89.327,-62.430,0.050,1.625,14.000,1.890,44.875,19.000,2.000,2026.000,15.000,46.000,37.000
41.000,419.346,1001.324,11.300,1.226,982.844,40.036,457304.251,0.000,0.000,0.000,0.000,0.004,0.000,89.535,0.000,0.152,1.456,13.320,0.000,44.886,89.371,-68.675,0.088,1.532,14.022,2.339,44.980,19.000,2.000,2026.000,15.000,46.000,38.000
41.000,419.334,1001.324,11.320,1.226,982.816,40.037,457256.517,0.000,0.000,0.000,0.000,0.004,0.000,89.703,0.000,0.202,1.789,13.334,0.000,44.693,89.472,-101.368,0.092,4.003,14.034,2.791,44.756,19.000,2.000,2026.000,15.000,46.000,38.000
41.000,419.339,1001.325,11.320,1.226,982.827,40.037,457259.493,0.000,0.000,0.000,0.000,0.004,0.000,89.364,0.000,0.117,1.200,13.320,0.000,45.162,89.630,-80.556,0.148,3.147,14.036,2.852,45.005,19.000,2.000,2026.000,15.000,46.000,39.000
41.000,419.349,1001.328,11.320,1.226,982.851,40.038,457265.672,0.000,0.000,0.000,0.000,0.004,0.000,89.388,0.000,0.099,1.325,13.329,0.000,45.106,89.368,-74.570,0.034,3.932,14.018,0.298,44.865,19.000,2.000,2026.000,15.000,46.000,39.000
41.000,419.394,1001.330,11.320,1.226,982.957,40.040,457290.853,0.000,0.000,0.000,0.000,0.004,0.000,89.384,0.000,0.179,1.631,13.342,0.000,44.798,89.450,-84.114,0.171,0.965,14.023,1.448,44.816,19.000,2.000,2026.000,15.000,46.000,40.000
41.000,419.360,1001.332,11.320,1.226,982.877,40.038,457272.629,0.000,0.000,0.000,0.000,0.004,0.000,89.533,0.000,0.162,3.829,13.346,0.000,45.197,89.351,-83.028,0.024,1.985,14.056,2.798,44.924,19.000,2.000,2026.000,15.000,46.000,40.000
41.000,419.405,1001.331,11.320,1.226,982.983,40.040,457297.125,0.000,0.000,0.000,0.000,0.004,0.000,89.437,0.000,0.084,1.227,13.340,0.000,45.274,89.557,-78.409,0.337,2.378,14.049,2.124,45.159,19.000,2.000,2026.000,15.000,46.000,41.000
41.000,419.420,1001.331,11.320,1.226,983.019,40.041,457305.366,0.000,0.000,0.000,0.000,0.004,0.000,89.509,0.000,0.088,2.950,13.343,0.000,45.078,89.313,-57.722,0.022,1.778,14.064,1.720,44.886,19.000,2.000,2026.000,15.000,46.000,41.000
41.000,419.422,1001.330,11.320,1.226,983.023,40.041,457306.236,0.000,0.000,0.000,0.000,0.004,0.000,89.631,0.000,0.228,1.565,13.374,0.000,45.306,89.338,-60.587,0.040,2.340,14.084,3.968,44.938,19.000,2.000,2026.000,15.000,46.000,42.000
41.000,419.359,1001.333,11.320,1.226,982.875,40.038,457272.308,0.000,0.000,0.000,0.000,0.004,0.000,89.531,0.000,0.166,2.078,13.345,0.000,44.956,89.371,-77.216,0.081,3.916,14.065,2.477,45.050,19.000,2.000,2026.000,15.000,46.000,42.000
41.000,419.338,1001.338,11.320,1.226,982.825,40.037,457261.911,0.000,0.000,0.000,0.000,0.004,0.000,89.572,0.000,0.073,1.876,13.348,0.000,45.068,89.593,-89.361,0.141,3.141,14.071,0.628,44.893,19.000,2.000,2026.000,15.000,46.000,43.000
41.000,419.267,1001.344,11.320,1.226,982.657,40.034,457224.269,0.000,0.000,0.000,0.000,0.004,0.000,89.314,0.000,0.188,1.472,13.355,0.000,45.372,89.672,-68.315,0.168,3.594,14.074,5.111,45.033,19.000,2.000,2026.000,15.000,46.000,43.000
41.000,419.254,1001.345,11.320,1.226,982.627,40.033,457217.354,0.000,0.000,0.000,0.000,0.004,0.000,89.401,0.000,0.110,5.328,13.359,0.000,45.054,89.546,-62.917,0.180,1.505,14.103,2.386,44.935,19.000,2.000,2026.000,15.000,46.000,44.000
41.000,419.236,1001.346,11.320,1.226,982.584,40.032,457207.691,0.000,0.000,0.000,0.000,0.004,0.000,89.493,0.000,0.190,6.048,13.370,0.000,45.460,89.472,-59.256,0.135,1.647,14.097,1.967,44.921,19.000,2.000,2026.000,15.000,46.000,44.000
41.000,419.232,1001.347,11.340,1.226,982.575,40.033,457164.593,0.000,0.000,0.000,0.000,0.004,0.000,89.457,0.000,0.114,4.527,13.363,0.000,45.099,89.436,-62.145,0.117,2.678,14.099,1.016,45.103,19.000,2.000,2026.000,15.000,46.000,45.000
41.000,419.284,1001.345,11.340,1.226,982.698,40.036,457192.708,0.000,0.000,0.000,0.000,0.004,0.000,89.450,0.000,0.248,-0.409,13.393,0.000,44.420,89.362,-73.088,0.024,3.812,14.101,2.145,44.851,19.000,2.000,2026.000,15.000,46.000,45.000
41.000,419.265,1001.347,11.320,1.226,982.653,40.033,457223.855,0.000,0.000,0.000,0.000,0.004,0.000,89.539,0.000,0.210,6.583,13.372,0.000,45.134,89.389,-87.101,0.022,2.901,14.099,1.207,44.847,19.000,2.000,2026.000,15.000,46.000,46.000
41.000,419.271,1001.348,11.320,1.226,982.667,40.034,457227.380,0.000,0.000,0.000,0.000,0.004,0.000,89.410,0.000,0.162,1.183,13.377,0.000,45.040,89.515,-93.879,0.128,4.357,14.132,1.448,44.641,19.000,2.000,2026.000,15.000,46.000,46.000
41.000,419.357,1001.351,11.340,1.226,982.870,40.039,457234.185,0.000,0.000,0.000,0.000,0.004,0.000,89.446,0.000,0.046,1.445,13.386,0.000,45.197,89.557,-96.181,0.169,1.718,14.123,1.621,44.896,19.000,2.000,2026.000,15.000,46.000,47.000
41.000,419.406,1001.352,11.340,1.226,982.986,40.041,457261.332,0.000,0.000,0.000,0.000,0.004,0.000,89.582,0.000,0.148,6.364,13.375,0.000,45.050,89.601,-85.715,0.167,0.938,14.120,1.127,44.088,19.000,2.000,2026.000,15.000,46.000,47.000
