  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
      21	  -0.004	   0.000	  0.2587	-0.045991	 0.00749	-0.12008	-0.045974	  0.2587	0.007485	-0.00271	-0.18475	-0.00086	-0.045991	-0.007485	0.258686	-0.00393	-0.17727	-0.00086	   -8.40	   -1.69	   60.49	   -1.24	   -6.03	   -0.27	  417.71	 1001.65	   11.86	   1.224	   979.0	   39.99	3.538E+5	   0.118
      22	   8.000	   0.000	  1.0303	0.001289	-0.00527	-0.22236	-0.142111	  1.0204	-0.005270	-0.00636	-0.47747	-0.00080	0.001289	0.005270	1.030258	-0.00555	-0.47768	 0.00009	    1.88	    1.19	  235.99	   -1.76	  -17.53	    0.03	  417.86	 1001.70	   11.86	   1.224	   979.3	   40.00	3.538E+5	   0.118
      23	  -3.996	   0.000	 -0.1839	-0.044807	 0.01220	-0.08647	-0.057513	 -0.1803	0.012200	-0.00076	-0.04138	-0.00200	-0.044807	-0.012200	-0.183906	-0.00260	-0.03409	-0.00206	   -7.83	   -2.75	  -40.03	   -0.82	   -0.53	   -0.65	  417.10	 1001.69	   11.94	   1.224	   977.5	   39.97	3.534E+5	   0.118
      24	  -3.996	   0.000	 -0.1828	0.031579	 0.00270	-0.04249	0.018765	 -0.1845	0.002705	 0.00003	 0.00365	 0.00133	0.031579	-0.002705	-0.182789	-0.00050	-0.00149	 0.00134	    9.45	   -0.61	  -39.90	   -0.16	    0.69	    0.42	  418.39	 1001.72	   12.06	   1.224	   980.6	   40.04	3.538E+5	   0.118
      25	   7.996	   0.000	  1.0031	0.074943	 0.00245	-0.14458	-0.065324	  1.0038	0.002455	-0.00288	-0.39552	-0.00223	0.074943	-0.002455	1.003097	-0.00357	-0.40771	-0.00185	   18.57	   -0.56	  230.27	   -1.13	  -14.94	   -0.59	  418.63	 1001.72	   12.03	   1.224	   981.2	   40.05	3.539E+5	   0.118
      26	   0.004	   0.000	  0.2523	0.030858	 0.00422	-0.06438	0.030840	  0.2523	0.004216	-0.00086	-0.12745	 0.00043	0.030858	-0.004216	0.252261	-0.00155	-0.13247	 0.00043	    8.96	   -0.95	   58.90	   -0.49	   -4.35	    0.13	  416.74	 1001.74	   12.06	   1.224	   976.7	   39.96	3.531E+5	   0.118
      27	   0.004	   0.000	  0.2556	0.002286	 0.00559	-0.08572	0.002268	  0.2556	0.005594	-0.00172	-0.14963	-0.00010	0.002286	-0.005594	0.255616	-0.00263	-0.15000	-0.00010	    2.52	   -1.27	   59.93	   -0.84	   -5.02	   -0.03	  418.63	 1016.42	   12.15	   1.241	   981.1	   39.76	3.563E+5	   0.117
      28	  -4.000	   0.000	 -0.1846	0.002410	 0.00607	-0.05871	-0.010469	 -0.1843	0.006066	-0.00047	-0.01265	 0.00012	0.002410	-0.006066	-0.184551	-0.00146	-0.01304	 0.00009	    2.83	   -1.37	  -40.13	   -0.46	    0.26	    0.03	  416.71	 1001.74	   12.21	   1.223	   976.6	   39.96	3.528E+5	   0.118
      29	   7.996	   0.000	  1.0140	0.046548	 0.00010	-0.17457	-0.094962	  1.0106	0.000104	-0.00422	-0.42723	-0.00177	0.046548	-0.000104	1.014023	-0.00445	-0.43480	-0.00120	   12.12	   -0.02	  232.34	   -1.41	  -15.93	   -0.38	  417.90	 1001.77	   12.18	   1.223	   979.4	   40.02	3.534E+5	   0.118
      30	   7.996	   0.000	  1.0004	0.065839	 0.00105	-0.16845	-0.073963	  0.9998	0.001046	-0.00443	-0.41841	-0.00069	0.065839	-0.001046	1.000391	-0.00465	-0.42912	-0.00007	    4.13	   -0.06	   57.42	   -0.37	   -3.94	   -0.01	  105.16	 1001.79	   11.71	   1.225	   245.3	   20.01	1.772E+5	   0.059
      31	   0.004	   0.000	  0.2413	0.020648	 0.00887	-0.08476	0.020631	  0.2413	0.008875	-0.00137	-0.14510	-0.00080	0.020648	-0.008875	0.241339	-0.00282	-0.14846	-0.00080	    1.67	   -0.50	   14.18	   -0.22	   -1.24	   -0.06	  105.18	 1001.77	   11.62	   1.225	   245.4	   20.01	1.773E+5	   0.059
      32	  -4.000	   0.000	 -0.1821	0.020570	 0.00624	-0.06257	0.007821	 -0.1830	0.006245	-0.00060	-0.01680	-0.00030	0.020570	-0.006245	-0.182055	-0.00159	-0.02015	-0.00034	    1.75	   -0.35	   -9.97	   -0.13	   -0.00	   -0.03	  105.48	 1001.78	   11.61	   1.226	   246.1	   20.04	1.776E+5	   0.059
      33	  -4.000	   0.000	 -0.1793	0.043955	 0.00327	-0.05005	0.031343	 -0.1819	0.003269	-0.00031	-0.00457	 0.00057	0.043955	-0.003269	-0.179278	-0.00088	-0.01172	 0.00055	    3.06	   -0.19	   -9.78	   -0.07	    0.08	    0.04	  105.10	 1031.21	   11.59	   1.262	   245.2	   19.71	1.799E+5	   0.058
      34	  -0.004	   0.000	  0.2406	0.042149	 0.00847	-0.06199	0.042167	  0.2406	0.008471	-0.00113	-0.12215	-0.00051	0.042149	-0.008471	0.240608	-0.00251	-0.12900	-0.00051	    2.88	   -0.48	   14.08	   -0.20	   -1.06	   -0.04	  104.74	 1001.77	   11.55	   1.226	   244.4	   19.97	1.770E+5	   0.059
      35	   8.000	   0.000	  0.9934	0.088889	 0.00299	-0.14399	-0.050230	  0.9961	0.002994	-0.00365	-0.39301	-0.00117	0.088889	-0.002994	0.993370	-0.00426	-0.40747	-0.00067	    5.41	   -0.17	   56.75	   -0.34	   -3.72	   -0.05	  104.65	 1001.81	   11.49	   1.226	   244.1	   19.96	1.770E+5	   0.059
      36	   8.000	   0.000	  1.0192	0.022668	-0.00018	-0.21870	-0.119398	  1.0124	-0.000182	-0.00623	-0.47180	-0.00058	0.022668	0.000182	1.019165	-0.00622	-0.47549	 0.00029	    1.69	    0.01	   58.69	   -0.50	   -4.39	    0.02	  105.53	 1001.81	   11.40	   1.226	   246.2	   20.04	1.778E+5	   0.059
      37	  -3.996	   0.000	 -0.1850	-0.025489	 0.00971	-0.08576	-0.038316	 -0.1827	0.009707	-0.00142	-0.04008	-0.00134	-0.025489	-0.009707	-0.184964	-0.00290	-0.03593	-0.00144	   -0.87	   -0.55	  -10.10	   -0.23	   -0.15	   -0.11	  105.08	 1001.85	   11.34	   1.227	   245.1	   19.99	1.775E+5	   0.059
