  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
       1	 15:35:11	   0.000	   0.000	  105.27	 1001.23	   11.14	  -137.1	   -63.6	   119.7	   144.1	  -137.9	    25.3	 240.982	   1.227	   245.6	    20.0	  228750	   61.51	   61.51	    1.50	    1.37	    0.00	  14.048	  13.868	  53.744	  53.070	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       2	 15:36:28	   7.996	   0.000	  105.56	 1001.21	   10.96	    97.4	   -22.9	   479.9	   458.4	   -11.5	    12.9	 244.002	   1.228	   246.3	    20.0	  229242	   61.51	   61.51	    1.43	    1.36	    0.00	  13.710	  13.766	  53.574	  53.062	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       3	 15:38:17	  -3.996	   0.000	  105.20	 1079.93	   10.90	   -94.1	   -46.6	  -112.9	   -92.8	    15.3	    21.0	 240.999	   1.324	   245.4	    19.8	  234418	   61.51	   61.51	    1.43	    1.41	    0.00	  13.664	  13.809	  53.521	  52.899	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       4	 15:39:13	  -3.996	   0.000	  105.27	 1001.20	   10.85	   184.2	   -26.7	  -151.0	  -132.5	   228.1	     5.4	 241.985	   1.228	   245.6	    20.0	  229042	   51.80	   51.80	    0.71	    0.73	    0.00	  13.700	  13.811	  49.048	  48.025	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       5	 15:40:24	   7.996	   0.000	  105.07	 1001.27	   10.84	   363.7	   -29.2	   420.8	   410.5	   213.2	    16.2	 243.991	   1.228	   245.1	    20.0	  228852	   51.80	   51.80	    0.71	    0.71	    0.00	  13.608	  13.676	  49.281	  48.140	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       6	 15:41:25	   0.004	   0.000	  105.03	 1001.26	   10.82	   149.7	   -49.1	    74.8	    97.6	    89.2	    16.1	 241.988	   1.228	   245.0	    20.0	  228821	   51.80	   51.80	    0.73	    0.69	    0.00	  13.489	  13.541	  48.947	  47.921	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       7	 15:42:19	   0.004	   0.000	  105.57	 1001.28	   10.81	   301.6	   -32.3	    52.8	    71.2	   210.3	     5.2	 243.013	   1.228	   246.3	    20.0	  229416	   44.73	   44.73	    0.38	    0.37	    0.00	  13.398	  13.429	  39.693	  38.844	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       8	 15:43:15	  -4.000	   0.000	  105.70	 1015.93	   10.80	   335.5	    -3.5	  -169.8	  -159.6	   343.4	    -8.9	 242.987	   1.246	   246.6	    20.0	  230766	   44.73	   44.73	    0.42	    0.39	    0.00	  13.276	  13.281	  39.814	  38.977	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       9	 15:44:28	   7.996	   0.000	  105.62	 1001.30	   10.80	   516.9	   -38.3	   390.1	   389.0	   338.1	    21.8	 244.995	   1.228	   246.4	    20.0	  229481	   44.73	   44.73	    0.38	    0.39	    0.00	  13.115	  13.119	  39.913	  39.028	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      10	 15:46:00	   7.996	   0.000	  418.61	 1001.31	   11.18	  1841.4	  -109.6	  1708.1	  1670.5	   669.1	    91.7	 473.981	   1.227	   981.1	    40.0	  457151	   89.47	   89.47	    2.66	    2.31	    0.00	  13.052	  13.363	  45.515	  45.159	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      11	 15:47:03	   0.004	   0.000	  419.37	 1001.34	   11.34	   927.4	  -129.6	   255.3	   331.6	   654.2	    35.9	 470.998	   1.226	   982.9	    40.0	  457246	   89.47	   89.48	    2.57	    2.17	    0.00	  13.377	  14.112	  45.078	  44.777	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
      12	 15:48:02	  -4.000	   0.000	  419.09	 1001.38	   11.48	  1045.4	   -50.6	  -668.2	  -598.9	  1181.8	   -24.1	 470.997	   1.226	   982.2	    40.0	  456812	   89.47	   89.48	    2.64	    2.45	    0.00	  13.735	  14.732	  45.211	  44.901	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
