  Run_nr	    Time	   Alpha	    Beta	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6
       /	   H:M:S	 degrees	 degrees	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps
       0	 15:24:05	   0.004	   0.000	 1001.00	   11.80	     0.5	    -0.7	     0.0	     0.0	     0.0	     0.0
       0	 15:27:30	  -4.000	   0.000	 1001.08	   11.80	    15.4	     9.2	    -4.0	    -7.5	    20.0	    -4.5
       0	 15:28:10	   7.996	   0.000	 1001.08	   11.80	   -27.0	   -15.2	   -26.0	   -19.6	   137.1	     9.5
       0	 15:28:29	  10.000	   0.000	 1001.12	   11.80	   -27.3	   -14.6	   -41.0	   -34.4	   212.2	     8.3
       0	 15:28:40	  12.000	   0.000	 1001.12	   11.80	   -26.2	   -14.0	   -59.1	   -52.0	   301.9	     8.2
       0	 15:28:49	  13.031	   0.000	 1001.11	   11.80	   -23.9	   -12.9	   -69.1	   -60.6	   351.6	     7.0
       0	 15:28:57	  14.030	   0.000	 1001.11	   11.80	   -24.4	   -12.2	   -80.9	   -72.7	   408.7	     7.0
       0	 15:29:55	  11.000	   0.000	 1001.13	   11.80	   -19.1	    -9.9	   -51.0	   -47.2	   263.9	     6.5
